*tech,year,sc_point_gid,capacity
upv_1,2010,48781,0.4
upv_3,2010,84994,0.9
upv_3,2010,86366,2.0
upv_4,2010,87045,0.9
upv_4,2010,87047,1.2
upv_4,2010,87729,0.9
upv_4,2010,88413,1.0
upv_4,2010,88415,1.4
upv_4,2010,89779,0.5
upv_4,2010,91145,0.4
upv_4,2010,91146,0.5
upv_4,2010,93196,0.3
upv_4,2010,93200,1.0
upv_1,2010,93525,3.0
upv_4,2010,95931,0.5
upv_4,2010,95934,1.0
upv_3,2010,96616,0.5
upv_4,2010,96623,3.0
upv_4,2010,97982,0.4
upv_1,2010,99682,0.9
upv_4,2010,100033,0.3
upv_1,2010,101645,9.0
upv_4,2010,102084,0.3
upv_4,2010,102085,0.5
upv_4,2010,102087,0.9
upv_4,2010,104138,0.9
upv_4,2010,104139,1.0
upv_4,2010,106870,0.3
upv_4,2010,106873,0.9
upv_3,2010,109744,0.4
upv_4,2010,110975,0.8
upv_4,2010,111656,0.4
upv_4,2010,113708,0.5
upv_5,2010,115761,0.9
upv_4,2010,115902,1.9
upv_5,2010,118496,0.9
upv_5,2010,121231,0.9
upv_4,2010,123424,1.5
upv_4,2010,126017,0.9
upv_5,2010,127435,10.0
upv_4,2010,127527,1.5
upv_5,2010,130211,3.0
upv_4,2010,130262,0.1
upv_4,2010,130266,5.4
upv_4,2010,131630,0.9
upv_5,2010,132876,21.0
upv_5,2010,134998,3.7
upv_1,2010,137253,0.5
upv_2,2010,137258,1.0
upv_2,2010,138621,0.5
upv_5,2010,140468,0.2
upv_5,2010,147991,2.65
upv_5,2010,152778,0.35
upv_4,2010,190631,25.0
upv_1,2011,48781,0.4
upv_3,2011,84994,0.9
upv_3,2011,86366,2.0
upv_4,2011,87045,0.9
upv_4,2011,87047,1.2
upv_4,2011,87729,0.9
upv_4,2011,88413,1.0
upv_4,2011,88415,1.4
upv_4,2011,89779,0.5
upv_4,2011,91145,0.4
upv_4,2011,91146,0.5
upv_4,2011,93196,0.3
upv_4,2011,93200,1.0
upv_1,2011,93525,3.0
upv_4,2011,95931,0.5
upv_4,2011,95934,1.0
upv_3,2011,96616,0.5
upv_4,2011,96623,3.0
upv_4,2011,97982,0.4
upv_1,2011,99682,0.9
upv_4,2011,100033,0.3
upv_1,2011,101645,9.0
upv_4,2011,102084,0.3
upv_4,2011,102085,0.5
upv_4,2011,102087,0.9
upv_4,2011,104138,0.9
upv_4,2011,104139,1.0
upv_4,2011,106870,0.3
upv_4,2011,106873,0.9
upv_3,2011,109744,0.4
upv_4,2011,110975,0.8
upv_4,2011,111656,0.4
upv_4,2011,113708,0.5
upv_5,2011,115761,0.9
upv_4,2011,115902,1.9
upv_5,2011,118496,0.9
upv_5,2011,121231,0.9
upv_4,2011,123424,1.5
upv_4,2011,126017,0.9
upv_5,2011,127435,10.0
upv_4,2011,127527,1.5
