*tech,year,sc_point_gid,capacity
upv_1,2010,52200,0.4
upv_1,2010,89419,0.9
upv_2,2010,102420,3.0
upv_2,2010,107118,9.0
upv_5,2010,110303,0.5
upv_5,2010,110305,0.5
upv_4,2010,110429,0.4
upv_4,2010,110431,1.9
upv_5,2010,111674,0.9
upv_5,2010,112358,0.9
upv_5,2010,112359,1.0
upv_5,2010,113040,0.5
upv_5,2010,114413,1.2
upv_5,2010,115089,0.4
upv_5,2010,115095,1.0
upv_5,2010,116496,10.0
upv_4,2010,117140,0.3
upv_5,2010,117831,1.0
upv_5,2010,117833,1.4
upv_4,2010,118509,0.5
upv_4,2010,119193,0.5
upv_4,2010,119875,0.3
upv_4,2010,120688,0.9
upv_4,2010,121247,0.9
upv_4,2010,121373,1.5
upv_4,2010,121375,5.4
upv_4,2010,122610,0.3
upv_4,2010,123298,0.9
upv_5,2010,123308,2.0
upv_4,2010,123982,0.9
upv_4,2010,123983,1.0
upv_4,2010,126033,0.9
upv_5,2010,126717,0.9
upv_4,2010,127528,1.5
upv_5,2010,128080,0.4
upv_5,2010,128844,3.0
upv_5,2010,129452,0.9
upv_5,2010,130815,0.4
upv_5,2010,131500,0.5
upv_5,2010,131516,3.0
upv_4,2010,131631,0.1
upv_5,2010,132866,0.3
upv_5,2010,133554,0.8
upv_5,2010,133631,3.7
upv_2,2010,133846,0.5
upv_5,2010,134238,0.9
upv_3,2010,134533,1.0
upv_5,2010,137657,0.9
upv_3,2010,138635,0.5
upv_5,2010,139785,0.2
upv_5,2010,142468,21.0
upv_5,2010,147308,3.0
upv_4,2010,199528,25.0
upv_1,2011,52200,0.4
upv_1,2011,89419,0.9
upv_2,2011,102420,3.0
upv_2,2011,107118,9.0
upv_5,2011,110303,0.5
upv_5,2011,110305,0.5
upv_4,2011,110429,0.4
upv_4,2011,110431,1.9
upv_5,2011,111674,0.9
upv_5,2011,112358,0.9
upv_5,2011,112359,1.0
upv_5,2011,113040,0.5
upv_5,2011,114413,1.2
upv_5,2011,115089,0.4
upv_5,2011,115095,1.0
upv_5,2011,116496,10.0
upv_4,2011,117140,0.3
upv_5,2011,117831,1.0
upv_5,2011,117833,1.4
upv_4,2011,118509,0.5
upv_4,2011,119193,0.5
upv_4,2011,119875,0.3
upv_4,2011,120688,0.9
upv_4,2011,121247,0.9
upv_4,2011,121373,1.5
upv_4,2011,121375,5.4
upv_4,2011,122610,0.3
upv_4,2011,123298,0.9
upv_5,2011,123308,2.0
upv_4,2011,123982,0.9
upv_4,2011,123983,1.0
