*tech,year,sc_point_gid,capacity
upv_1,2010,46046,0.4
upv_1,2010,89419,0.9
upv_1,2010,100277,9.0
upv_1,2010,102420,3.0
upv_4,2010,106198,0.5
upv_5,2010,108935,0.5
upv_5,2010,109621,0.9
upv_3,2010,110429,0.4
upv_3,2010,110431,1.9
upv_5,2010,111673,1.0
upv_5,2010,112356,0.9
upv_5,2010,112359,1.2
upv_4,2010,112393,10.0
upv_4,2010,113035,0.4
upv_4,2010,115088,0.5
upv_4,2010,116458,0.77
upv_5,2010,116460,1.0
upv_5,2010,117147,1.4
upv_4,2010,117821,0.3
upv_4,2010,119190,0.5
upv_4,2010,119193,0.13
upv_4,2010,119877,0.9
upv_4,2010,120556,0.3
upv_4,2010,120688,0.9
upv_4,2010,121247,1.0
upv_4,2010,121373,1.5
upv_4,2010,121375,5.4
upv_4,2010,121925,0.5
upv_4,2010,121926,0.5
upv_4,2010,123291,0.4
upv_4,2010,123296,0.9
upv_5,2010,123306,2.0
upv_5,2010,124676,3.0
upv_5,2010,125342,0.3
upv_4,2010,126031,0.9
upv_4,2010,126032,1.0
upv_4,2010,127528,1.5
upv_5,2010,128077,0.3
upv_5,2010,130133,0.8
upv_5,2010,130817,0.9
upv_4,2010,131631,0.1
upv_5,2010,132263,3.0
upv_2,2010,132476,0.5
upv_5,2010,133547,0.4
upv_5,2010,133552,0.9
upv_5,2010,134314,0.2
upv_4,2010,135603,0.9
upv_4,2010,136287,0.9
upv_2,2010,136581,0.5
upv_2,2010,137268,1.0
upv_5,2010,141837,3.7
upv_5,2010,148620,21.0
upv_5,2010,155514,3.0
upv_4,2010,196106,25.0
upv_1,2011,46046,0.4
upv_1,2011,89419,0.9
upv_1,2011,100277,9.0
upv_1,2011,102420,3.0
upv_4,2011,106198,0.5
upv_5,2011,108935,0.5
upv_5,2011,109621,0.9
upv_3,2011,110429,0.4
upv_3,2011,110431,1.9
upv_5,2011,111673,1.0
upv_5,2011,112356,0.9
upv_5,2011,112359,1.2
upv_4,2011,112393,10.0
upv_4,2011,113035,0.4
upv_4,2011,115088,0.5
upv_4,2011,116458,0.77
upv_5,2011,116460,1.0
upv_5,2011,117147,1.4
upv_4,2011,117821,0.3
upv_4,2011,119190,0.5
upv_4,2011,119193,0.13
upv_4,2011,119877,0.9
upv_4,2011,120556,0.3
upv_4,2011,120688,0.9
upv_4,2011,121247,1.0
upv_4,2011,121373,1.5
upv_4,2011,121375,5.4
upv_4,2011,121925,0.5
upv_4,2011,121926,0.5
upv_4,2011,123291,0.4
upv_4,2011,123296,0.9
upv_5,2011,123306,2.0
upv_5,2011,124676,3.0
upv_5,2011,125342,0.3
upv_4,2011,126031,0.9
upv_4,2011,126032,1.0
upv_4,2011,127528,1.5
upv_5,2011,128077,0.3
upv_5,2011,130133,0.8
upv_5,2011,130817,0.9
upv_4,2011,131631,0.1
upv_5,2011,132263,3.0
upv_2,2011,132476,0.5
upv_5,2011,133547,0.4
upv_5,2011,133552,0.9
upv_5,2011,134314,0.2
upv_4,2011,135603,0.9
upv_4,2011,136287,0.9
upv_2,2011,136581,0.5
upv_2,2011,137268,1.0
upv_5,2011,141837,3.7
upv_5,2011,148620,21.0
upv_5,2011,155514,3.0
upv_4,2011,196106,25.0
upv_1,2012,46046,0.4
upv_1,2012,89419,0.9
upv_1,2012,100277,9.0
upv_1,2012,102420,3.0
upv_4,2012,106198,0.5
upv_5,2012,108935,0.5
upv_5,2012,109621,0.9
upv_3,2012,110429,0.4
upv_3,2012,110431,1.9
upv_5,2012,111673,1.0
upv_5,2012,112356,0.9
upv_5,2012,112359,1.2
upv_4,2012,112393,10.0
upv_4,2012,113035,0.4
upv_4,2012,115088,0.5
upv_4,2012,116458,0.77
upv_5,2012,116460,1.0
upv_5,2012,117147,1.4
upv_4,2012,117821,0.3
upv_4,2012,119190,0.5
upv_4,2012,119193,0.13
upv_4,2012,119877,0.9
upv_4,2012,120556,0.3
upv_4,2012,120688,0.9
upv_4,2012,121247,1.0
upv_4,2012,121373,1.5
upv_4,2012,121375,5.4
upv_4,2012,121925,0.5
upv_4,2012,121926,0.5
upv_4,2012,123291,0.4
upv_4,2012,123296,0.9
upv_5,2012,123306,2.0
upv_5,2012,124676,3.0
upv_5,2012,125342,0.3
upv_4,2012,126031,0.9
upv_4,2012,126032,1.0
upv_4,2012,127528,1.5
upv_5,2012,128077,0.3
upv_5,2012,130133,0.8
upv_5,2012,130817,0.9
upv_4,2012,131631,0.1
upv_5,2012,132263,3.0
upv_2,2012,132476,0.5
upv_5,2012,133547,0.4
upv_5,2012,133552,0.9
upv_5,2012,134314,0.2
upv_4,2012,135603,0.9
upv_4,2012,136287,0.9
upv_2,2012,136581,0.5
upv_2,2012,137268,1.0
upv_5,2012,141837,3.7
upv_5,2012,148620,21.0
upv_5,2012,155514,3.0
upv_4,2012,196106,25.0
upv_1,2013,46046,0.4
upv_1,2013,89419,0.9
upv_1,2013,100277,9.0
upv_1,2013,102420,3.0
upv_4,2013,106198,0.5
upv_5,2013,108935,0.5
upv_5,2013,109621,0.9
upv_3,2013,110429,0.4
upv_3,2013,110431,1.9
upv_5,2013,111673,1.0
upv_5,2013,112356,0.9
upv_5,2013,112359,1.2
upv_4,2013,112393,10.0
upv_4,2013,113035,0.4
upv_4,2013,115088,0.5
upv_4,2013,116458,0.77
upv_5,2013,116460,1.0
upv_5,2013,117147,1.4
upv_4,2013,117821,0.3
upv_4,2013,119190,0.5
upv_4,2013,119193,0.13
upv_4,2013,119877,0.9
upv_4,2013,120556,0.3
upv_4,2013,120688,0.9
upv_4,2013,121247,1.0
upv_4,2013,121373,1.5
upv_4,2013,121375,5.4
upv_4,2013,121925,0.5
upv_4,2013,121926,0.5
upv_4,2013,123291,0.4
upv_4,2013,123296,0.9
upv_5,2013,123306,2.0
upv_5,2013,124676,3.0
upv_5,2013,125342,0.3
upv_4,2013,126031,0.9
upv_4,2013,126032,1.0
upv_4,2013,127528,1.5
upv_5,2013,128077,0.3
upv_5,2013,130133,0.8
upv_5,2013,130817,0.9
upv_4,2013,131631,0.1
upv_5,2013,132263,3.0
upv_2,2013,132476,0.5
upv_5,2013,133547,0.4
upv_5,2013,133552,0.9
upv_5,2013,134314,0.2
upv_4,2013,135603,0.9
upv_4,2013,136287,0.9
upv_2,2013,136581,0.5
upv_2,2013,137268,1.0
upv_5,2013,141837,3.7
upv_5,2013,148620,21.0
upv_5,2013,155514,3.0
upv_4,2013,196106,25.0
upv_1,2014,46046,0.4
upv_1,2014,89419,0.9
upv_1,2014,100277,9.0
upv_1,2014,102420,3.0
upv_4,2014,106198,0.5
upv_5,2014,108935,0.5
upv_5,2014,109621,0.9
upv_3,2014,110429,0.4
upv_3,2014,110431,1.9
upv_5,2014,111673,1.0
upv_5,2014,112356,0.9
upv_5,2014,112359,1.2
upv_4,2014,112393,10.0
upv_4,2014,113035,0.4
upv_4,2014,115088,0.5
upv_4,2014,116458,0.77
upv_5,2014,116460,1.0
upv_5,2014,117147,1.4
upv_4,2014,117821,0.3
upv_4,2014,119190,0.5
upv_4,2014,119193,0.13
upv_4,2014,119877,0.9
upv_4,2014,120556,0.3
upv_4,2014,120688,0.9
upv_4,2014,121247,1.0
upv_4,2014,121373,1.5
upv_4,2014,121375,5.4
upv_4,2014,121925,0.5
upv_4,2014,121926,0.5
upv_4,2014,123291,0.4
upv_4,2014,123296,0.9
upv_5,2014,123306,2.0
upv_5,2014,124676,3.0
upv_5,2014,125342,0.3
upv_4,2014,126031,0.9
upv_4,2014,126032,1.0
upv_4,2014,127528,1.5
upv_5,2014,128077,0.3
upv_5,2014,130133,0.8
upv_5,2014,130817,0.9
upv_4,2014,131631,0.1
upv_5,2014,132263,3.0
upv_2,2014,132476,0.5
upv_5,2014,133547,0.4
upv_5,2014,133552,0.9
upv_5,2014,134314,0.2
upv_4,2014,135603,0.9
upv_4,2014,136287,0.9
upv_2,2014,136581,0.5
upv_2,2014,137268,1.0
upv_5,2014,141837,3.7
upv_5,2014,148620,21.0
upv_5,2014,155514,3.0
upv_4,2014,196106,25.0
upv_1,2015,46046,0.4
upv_1,2015,89419,0.9
upv_1,2015,100277,9.0
upv_1,2015,102420,3.0
upv_4,2015,106198,0.5
upv_5,2015,108935,0.5
upv_5,2015,109621,0.9
upv_3,2015,110429,0.4
upv_3,2015,110431,1.9
upv_5,2015,111673,1.0
upv_5,2015,112356,0.9
upv_5,2015,112359,1.2
upv_4,2015,112393,10.0
upv_4,2015,113035,0.4
upv_4,2015,115088,0.5
upv_4,2015,116458,0.77
upv_5,2015,116460,1.0
upv_5,2015,117147,1.4
upv_4,2015,117821,0.3
upv_4,2015,119190,0.5
upv_4,2015,119193,0.13
upv_4,2015,119877,0.9
upv_4,2015,120556,0.3
upv_4,2015,120688,0.9
upv_4,2015,121247,1.0
upv_4,2015,121373,1.5
upv_4,2015,121375,5.4
upv_4,2015,121925,0.5
upv_4,2015,121926,0.5
upv_4,2015,123291,0.4
upv_4,2015,123296,0.9
upv_5,2015,123306,2.0
upv_5,2015,124676,3.0
upv_5,2015,125342,0.3
upv_4,2015,126031,0.9
upv_4,2015,126032,1.0
upv_4,2015,127528,1.5
upv_5,2015,128077,0.3
upv_5,2015,130133,0.8
upv_5,2015,130817,0.9
upv_4,2015,131631,0.1
upv_5,2015,132263,3.0
upv_2,2015,132476,0.5
upv_5,2015,133547,0.4
upv_5,2015,133552,0.9
upv_5,2015,134314,0.2
upv_4,2015,135603,0.9
upv_4,2015,136287,0.9
upv_2,2015,136581,0.5
upv_2,2015,137268,1.0
upv_5,2015,141837,3.7
upv_5,2015,148620,21.0
upv_5,2015,155514,3.0
upv_4,2015,196106,25.0
upv_1,2016,46046,0.4
upv_1,2016,89419,0.9
upv_1,2016,100277,9.0
upv_1,2016,102420,3.0
upv_4,2016,106198,0.5
upv_5,2016,108935,0.5
upv_5,2016,109621,0.9
upv_3,2016,110429,0.4
upv_3,2016,110431,1.9
upv_5,2016,111673,1.0
upv_5,2016,112356,0.9
upv_5,2016,112359,1.2
upv_4,2016,112393,10.0
upv_4,2016,113035,0.4
upv_4,2016,115088,0.5
upv_4,2016,116458,0.77
upv_5,2016,116460,1.0
upv_5,2016,117147,1.4
upv_4,2016,117821,0.3
upv_4,2016,119190,0.5
upv_4,2016,119193,0.13
upv_4,2016,119877,0.9
upv_4,2016,120556,0.3
upv_4,2016,120688,0.9
upv_4,2016,121247,1.0
upv_4,2016,121373,1.5
upv_4,2016,121375,5.4
upv_4,2016,121925,0.5
upv_4,2016,121926,0.5
upv_4,2016,123291,0.4
upv_4,2016,123296,0.9
upv_5,2016,123306,2.0
upv_5,2016,124676,3.0
upv_5,2016,125342,0.3
upv_4,2016,126031,0.9
upv_4,2016,126032,1.0
upv_4,2016,127528,1.5
upv_5,2016,128077,0.3
upv_5,2016,130133,0.8
upv_5,2016,130817,0.9
upv_4,2016,131631,0.1
upv_5,2016,132263,3.0
upv_2,2016,132476,0.5
upv_5,2016,133547,0.4
upv_5,2016,133552,0.9
upv_5,2016,134314,0.2
upv_4,2016,135603,0.9
upv_4,2016,136287,0.9
upv_2,2016,136581,0.5
upv_2,2016,137268,1.0
upv_5,2016,141837,3.7
upv_5,2016,148620,21.0
upv_5,2016,155514,3.0
upv_4,2016,196106,25.0
upv_1,2017,46046,0.4
upv_1,2017,89419,0.9
upv_1,2017,100277,9.0
upv_1,2017,102420,3.0
upv_4,2017,106198,0.5
upv_5,2017,108935,0.5
upv_5,2017,109621,0.9
upv_3,2017,110429,0.4
