*tech,year,sc_point_gid,capacity
wind-ons_1,2010,45361,60.0
wind-ons_1,2010,46046,60.0
wind-ons_1,2010,46728,44.0
wind-ons_2,2010,49465,42.0
wind-ons_6,2010,54250,60.0
wind-ons_4,2010,54935,168.6
wind-ons_5,2010,55021,101.4
wind-ons_6,2010,55705,104.2
wind-ons_6,2010,55748,31.5
wind-ons_5,2010,56302,156.0
wind-ons_6,2010,56985,38.9
wind-ons_5,2010,56986,186.0
wind-ons_6,2010,57116,40.5
wind-ons_7,2010,57316,42.0
wind-ons_6,2010,57669,122.8
wind-ons_6,2010,57670,66.0
wind-ons_6,2010,57831,0.93
wind-ons_5,2010,58352,7.2
wind-ons_5,2010,58354,96.0
wind-ons_7,2010,58484,40.5
wind-ons_6,2010,58515,0.93
wind-ons_7,2010,58516,1.2
wind-ons_6,2010,59036,78.0
wind-ons_4,2010,59037,149.4
wind-ons_6,2010,59199,0.93
wind-ons_7,2010,59201,2.0
wind-ons_4,2010,59720,35.0
wind-ons_3,2010,59721,13.0
wind-ons_6,2010,59883,0.93
wind-ons_7,2010,59885,2.0
wind-ons_7,2010,59886,2.1
wind-ons_7,2010,59888,12.0
wind-ons_6,2010,59889,30.0
wind-ons_7,2010,59899,126.0
wind-ons_7,2010,60052,4.5
wind-ons_1,2010,60405,138.0
wind-ons_7,2010,60492,9.7
wind-ons_6,2010,60567,0.93
wind-ons_7,2010,60569,1.9
wind-ons_7,2010,60572,11.8
wind-ons_7,2010,60583,79.5
wind-ons_8,2010,60738,57.0
wind-ons_8,2010,60739,66.0
wind-ons_2,2010,61088,136.3
wind-ons_2,2010,61089,124.2
wind-ons_6,2010,61252,1.0
wind-ons_6,2010,61253,1.7
wind-ons_7,2010,61255,4.2
wind-ons_7,2010,61256,11.2
wind-ons_7,2010,61935,0.93
wind-ons_7,2010,61936,0.97
wind-ons_6,2010,61937,1.7
wind-ons_7,2010,61940,10.4
wind-ons_7,2010,61941,2.0
wind-ons_7,2010,62105,4.5
wind-ons_3,2010,62454,8.0
wind-ons_2,2010,62455,94.0
wind-ons_3,2010,62456,176.9
wind-ons_7,2010,62619,0.93
wind-ons_8,2010,62620,0.97
wind-ons_7,2010,62621,1.7
wind-ons_8,2010,62622,2.0
wind-ons_7,2010,62626,91.1
wind-ons_1,2010,63138,9.9
wind-ons_3,2010,63139,76.5
wind-ons_8,2010,63303,0.93
wind-ons_8,2010,63304,0.97
wind-ons_7,2010,63305,1.7
wind-ons_6,2010,63306,2.0
wind-ons_6,2010,63307,3.0
wind-ons_7,2010,63308,9.2
wind-ons_8,2010,63310,85.5
wind-ons_8,2010,63311,100.7
wind-ons_7,2010,63313,150.0
wind-ons_6,2010,63987,0.9
wind-ons_6,2010,63989,1.7
wind-ons_7,2010,63992,8.4
wind-ons_7,2010,63993,25.0
wind-ons_8,2010,63995,100.5
wind-ons_2,2010,64506,10.0
wind-ons_8,2010,64596,135.0
wind-ons_6,2010,64671,0.9
wind-ons_6,2010,64672,0.97
wind-ons_6,2010,64673,1.7
wind-ons_6,2010,64674,2.0
wind-ons_7,2010,64675,2.1
wind-ons_6,2010,64676,8.0
wind-ons_7,2010,64678,51.0
wind-ons_6,2010,64679,100.5
wind-ons_6,2010,64680,90.0
wind-ons_1,2010,65189,3.3
wind-ons_1,2010,65190,25.0
wind-ons_2,2010,65191,42.9
wind-ons_6,2010,65355,0.9
wind-ons_7,2010,65357,1.7
wind-ons_6,2010,65358,2.0
wind-ons_6,2010,65360,5.2
wind-ons_1,2010,65874,12.0
wind-ons_2,2010,65875,163.3
wind-ons_6,2010,66039,0.9
wind-ons_7,2010,66040,0.97
wind-ons_6,2010,66046,49.5
wind-ons_6,2010,66186,24.0
wind-ons_8,2010,66692,48.0
wind-ons_7,2010,66723,0.9
wind-ons_5,2010,66729,19.98
wind-ons_5,2010,66866,5.2
wind-ons_8,2010,67376,48.0
wind-ons_6,2010,67407,0.9
wind-ons_7,2010,68061,31.5
wind-ons_6,2010,68091,0.7
wind-ons_7,2010,68744,49.5
wind-ons_6,2010,68775,0.7
wind-ons_7,2010,68776,0.97
wind-ons_6,2010,68777,1.5
wind-ons_4,2010,68778,2.0
wind-ons_8,2010,68902,40.5
wind-ons_8,2010,69428,49.5
wind-ons_8,2010,69429,84.0
wind-ons_6,2010,69460,0.97
wind-ons_5,2010,69461,1.5
wind-ons_4,2010,69462,2.0
wind-ons_8,2010,69514,1.8
wind-ons_6,2010,69582,20.0
wind-ons_6,2010,69583,66.0
wind-ons_9,2010,69587,52.0
wind-ons_9,2010,70067,30.0
wind-ons_7,2010,70112,50.6
wind-ons_8,2010,70113,118.5
wind-ons_8,2010,70114,12.0
wind-ons_6,2010,70143,0.4
wind-ons_5,2010,70144,0.97
wind-ons_5,2010,70145,1.3
wind-ons_4,2010,70146,2.0
wind-ons_6,2010,70266,11.5
wind-ons_6,2010,70267,42.0
wind-ons_8,2010,70269,54.0
wind-ons_3,2010,70661,40.8
wind-ons_1,2010,70662,11.0
wind-ons_8,2010,70796,61.5
wind-ons_8,2010,70797,120.0
wind-ons_8,2010,70798,168.0
wind-ons_6,2010,70828,0.97
wind-ons_6,2010,70829,1.3
wind-ons_6,2010,70830,2.0
wind-ons_7,2010,70952,9.0
wind-ons_7,2010,70953,46.5
wind-ons_5,2010,71344,25.2
wind-ons_5,2010,71345,60.0
wind-ons_8,2010,71479,2.6
wind-ons_8,2010,71481,149.0
wind-ons_6,2010,71512,0.97
wind-ons_6,2010,71513,1.3
wind-ons_6,2010,71514,2.0
wind-ons_7,2010,71635,45.5
wind-ons_6,2010,71637,46.5
wind-ons_9,2010,71639,66.0
wind-ons_6,2010,72027,9.9
wind-ons_8,2010,72163,4.5
wind-ons_8,2010,72165,94.5
wind-ons_6,2010,72195,0.04
wind-ons_6,2010,72196,0.97
wind-ons_6,2010,72197,1.3
wind-ons_5,2010,72198,2.0
wind-ons_6,2010,72319,30.55
wind-ons_8,2010,72847,11.9
