*tech,year,sc_point_gid,capacity
wind-ons_1,2010,46046,114.0
wind-ons_2,2010,46729,44.0
wind-ons_1,2010,46730,28.2
wind-ons_2,2010,48781,156.0
wind-ons_4,2010,49464,7.2
wind-ons_3,2010,49465,228.6
wind-ons_5,2010,50148,94.0
wind-ons_3,2010,51516,54.0
wind-ons_7,2010,52200,168.0
wind-ons_7,2010,52969,9.7
wind-ons_6,2010,53567,122.8
wind-ons_5,2010,54935,31.0
wind-ons_6,2010,55619,234.0
wind-ons_7,2010,55705,104.2
wind-ons_6,2010,56302,98.9
wind-ons_6,2010,57670,62.9
wind-ons_6,2010,58354,174.0
wind-ons_8,2010,58684,4.5
wind-ons_4,2010,59037,95.0
wind-ons_8,2010,59201,0.93
wind-ons_8,2010,59203,2.0
wind-ons_3,2010,59721,136.3
wind-ons_7,2010,59854,18.0
wind-ons_7,2010,59885,0.93
wind-ons_8,2010,59886,1.3
wind-ons_7,2010,59888,2.1
wind-ons_7,2010,59889,10.4
wind-ons_8,2010,59899,180.0
wind-ons_9,2010,60055,66.0
wind-ons_1,2010,60405,95.4
wind-ons_7,2010,60569,0.93
wind-ons_7,2010,60570,1.2
wind-ons_7,2010,60571,2.0
wind-ons_7,2010,60572,2.1
wind-ons_7,2010,60574,25.0
wind-ons_8,2010,60583,25.5
wind-ons_9,2010,60738,42.0
wind-ons_2,2010,61089,30.0
wind-ons_7,2010,61253,0.93
wind-ons_7,2010,61255,1.9
wind-ons_7,2010,61256,2.1
wind-ons_7,2010,61257,9.2
wind-ons_5,2010,61772,78.0
wind-ons_7,2010,61937,0.93
wind-ons_7,2010,61939,1.7
wind-ons_8,2010,61940,2.1
wind-ons_7,2010,61941,8.4
wind-ons_8,2010,61942,20.0
wind-ons_9,2010,61943,51.0
wind-ons_9,2010,61944,60.0
wind-ons_9,2010,62107,57.0
wind-ons_8,2010,62590,31.5
wind-ons_7,2010,62621,0.93
wind-ons_7,2010,62623,1.7
wind-ons_7,2010,62624,2.0
wind-ons_8,2010,62625,8.0
wind-ons_9,2010,62628,40.5
wind-ons_4,2010,63139,6.6
wind-ons_3,2010,63140,62.7
wind-ons_7,2010,63305,0.93
wind-ons_7,2010,63307,1.7
wind-ons_7,2010,63308,2.0
wind-ons_8,2010,63309,5.2
