region,year,capacity
p101,2010,23.7
p111,2010,10.0
p112,2010,1.1
p12,2010,48.0
p121,2010,1.4
p122,2010,3.9
p126,2010,6.3
p28,2010,2.4
p29,2010,1.6
p31,2010,30.6
p33,2010,0.9
p34,2010,19.0
p63,2010,13.5
p8,2010,6.96
p9,2010,13.14
p97,2010,7.1
p10,2011,98.84
p101,2011,19.0
p107,2011,1.5
p111,2011,8.0
p121,2011,2.0
p122,2011,6.8
p123,2011,4.1
p125,2011,12.4
p126,2011,124.6
p127,2011,37.0
p129,2011,3.4
p28,2011,16.25
p29,2011,126.25
p31,2011,6.0
p34,2011,43.9
p47,2011,94.8
p5,2011,1.0
p66,2011,30.0
p7,2011,1.6
p8,2011,7.6
p9,2011,33.35
p94,2011,0.6
p97,2011,17.5
p98,2011,4.9
p10,2012,308.01
p101,2012,3.5
p105,2012,7.5
p111,2012,9.3
p112,2012,1.5
p12,2012,235.12
p121,2012,3.8
p122,2012,18.5
p123,2012,19.2
p125,2012,11.8
p126,2012,51.9
p127,2012,6.5
p129,2012,5.8
p13,2012,0.68
p131,2012,20.5
p26,2012,1.3
p28,2012,164.13
p29,2012,326.87
p31,2012,3.6
p33,2012,1.8
p34,2012,31.0
p47,2012,28.1
p66,2012,30.4
p7,2012,7.8
p8,2012,16.22
p80,2012,22.6
p9,2012,105.68
p92,2012,11.8
p94,2012,0.8
p97,2012,40.38
p98,2012,52.3
p10,2013,1428.57
p105,2013,4.0
p107,2013,38.6
p11,2013,200.6
p112,2013,1.8
p12,2013,33.3
p121,2013,1.2
p122,2013,2.9
p123,2013,25.7
p125,2013,3.9
p126,2013,32.1
p127,2013,3.6
p129,2013,8.4
p131,2013,35.2
p132,2013,5.0
p28,2013,71.4
p29,2013,172.2
p34,2013,1.0
p43,2013,1.7
p47,2013,28.8
p66,2013,50.7
p76,2013,1.0
p8,2013,15.8
p9,2013,130.82
p94,2013,58.9
p96,2013,2.5
p97,2013,34.6
p98,2013,144.9
p10,2014,1675.08
p105,2014,32.81
p107,2014,8.99
p11,2014,88.32
p111,2014,0.98
p112,2014,1.61
p12,2014,221.49
p121,2014,2.7
p123,2014,1.7
p126,2014,38.6
p127,2014,7.6
p129,2014,19.9
p13,2014,26.0
p131,2014,84.5
p132,2014,6.0
p28,2014,62.2
p29,2014,165.5
p31,2014,6.1
p33,2014,3.2
p34,2014,1.5
p47,2014,53.7
p57,2014,10.3
p63,2014,4.4
p66,2014,39.6
p7,2014,2.9
p72,2014,9.4
p8,2014,24.8
p80,2014,0.3
p84,2014,2.8
p9,2014,226.09
p92,2014,31.61
p94,2014,12.1
p97,2014,141.7
p98,2014,234.9
p10,2015,997.63
p101,2015,9.5
p103,2015,1.0
p105,2015,11.8
p107,2015,22.7
p11,2015,108.04
p111,2015,2.1
p112,2015,3.0
p12,2015,179.1
p121,2015,2.1
p123,2015,44.1
p125,2015,1.2
p126,2015,63.6
p127,2015,24.0
p129,2015,2.0
p13,2015,52.3
p131,2015,29.12
p25,2015,108.43
p26,2015,56.67
p28,2015,61.0
p29,2015,59.6
p31,2015,19.2
p33,2015,5.2
p34,2015,60.7
p43,2015,2.3
p47,2015,40.8
p50,2015,2.5
p53,2015,0.9
p57,2015,2.0
p63,2015,1.2
p66,2015,135.7
p7,2015,5.0
p72,2015,5.6
p8,2015,4.7
p83,2015,5.6
p85,2015,12.0
p9,2015,107.83
p90,2015,30.0
p94,2015,145.5
p97,2015,184.4
p98,2015,709.79
p10,2016,2301.41
p101,2016,168.8
p102,2016,74.5
p103,2016,10.9
p105,2016,19.9
p107,2016,12.3
p109,2016,3.9
p11,2016,109.52
p110,2016,6.1
p111,2016,1.7
p112,2016,2.8
p12,2016,549.06
p121,2016,2.1
p122,2016,5.0
p123,2016,45.1
p126,2016,91.2
p127,2016,39.2
p129,2016,24.7
p13,2016,80.54
p131,2016,52.0
p132,2016,14.2
p16,2016,120.0
p25,2016,650.3
p26,2016,39.1
p28,2016,66.2
p29,2016,313.2
p33,2016,52.0
p34,2016,174.8
p38,2016,1.0
p41,2016,6.3
p42,2016,2.9
p43,2016,243.2
p47,2016,164.4
p5,2016,24.8
p57,2016,157.5
