region,year,capacity
p04001,2010,1.6
p04003,2010,2.4
p06003,2010,1.81
p06005,2010,1.0
p06019,2010,2.69
p06031,2010,5.0
p06035,2010,2.16
p06049,2010,4.8
p06061,2010,0.6
p06063,2010,1.0
p06091,2010,1.04
p08017,2010,9.0
p08061,2010,10.0
p08125,2010,0.9
p12031,2010,1.2
p12095,2010,8.01
p12109,2010,1.99
p12127,2010,12.5
p24021,2010,1.4
p32007,2010,10.0
p32017,2010,25.82
p32033,2010,12.18
p34009,2010,3.6
p34015,2010,2.7
p35059,2010,30.6
p37011,2010,1.9
p37021,2010,2.3
p37087,2010,0.9
p37099,2010,0.5
p37113,2010,0.5
p37115,2010,1.0
p39019,2010,1.1
p39029,2010,10.0
p42077,2010,1.0
p42095,2010,1.6
p42127,2010,1.3
p48005,2010,13.5
p04001,2011,126.25
p04003,2011,1.0
p04009,2011,2.9
p04011,2011,12.35
p06009,2011,1.0
p06017,2011,0.5
p06019,2011,14.15
p06029,2011,11.4
p06035,2011,6.3
p06037,2011,20.0
p06047,2011,2.5
p06049,2011,1.3
p06051,2011,34.43
p06053,2011,1.5
p06063,2011,1.0
p06067,2011,0.5
p06069,2011,2.5
p06077,2011,1.0
p06079,2011,3.6
p06083,2011,1.5
p06099,2011,3.1
p06107,2011,33.01
p06115,2011,0.5
p08017,2011,5.5
p08063,2011,35.0
p08099,2011,3.4
p10003,2011,1.1
p10005,2011,11.3
p12035,2011,1.6
p12043,2011,2.3
p12055,2011,4.68
p12105,2011,0.42
p12127,2011,10.0
p13107,2011,0.6
p18139,2011,1.5
p24013,2011,2.0
p24023,2011,1.0
p24029,2011,2.1
p24043,2011,1.0
p34001,2011,3.9
p34003,2011,1.52
p34005,2011,9.0
p34007,2011,6.2
p34009,2011,6.0
p34011,2011,2.5
p34019,2011,6.3
p34021,2011,7.7
p34023,2011,7.5
p34025,2011,46.08
p34033,2011,4.9
p34035,2011,4.1
p34037,2011,16.3
p34041,2011,2.6
p35009,2011,12.1
p35025,2011,71.7
p35037,2011,6.0
p35041,2011,5.0
p35059,2011,6.0
p36007,2011,1.0
p36017,2011,1.5
p36023,2011,1.0
p36025,2011,2.0
p36083,2011,31.5
p37021,2011,2.9
p37025,2011,4.0
p37035,2011,2.5
p37087,2011,0.9
p37089,2011,1.2
p37115,2011,3.0
p37123,2011,4.9
p37175,2011,3.0
p39155,2011,8.0
p41001,2011,1.6
p41061,2011,1.0
p42029,2011,1.0
p42069,2011,1.0
p42089,2011,1.0
p42091,2011,3.8
p48291,2011,30.0
p50019,2011,3.4
p04001,2012,326.87
p04009,2012,20.68
p04011,2012,143.45
p06003,2012,9.47
p06009,2012,1.3
p06017,2012,1.3
p06019,2012,16.0
p06027,2012,18.27
p06029,2012,53.63
p06031,2012,9.0
p06035,2012,9.32
p06037,2012,46.11
p06039,2012,20.0
p06043,2012,10.0
p06047,2012,4.5
p06049,2012,6.9
p06051,2012,20.0
p06053,2012,1.5
p06061,2012,3.3
p06063,2012,3.5
p06067,2012,0.5
p06069,2012,1.0
p06071,2012,160.0
p06077,2012,0.5
p06079,2012,6.7
p06083,2012,8.0
p06091,2012,2.08
p06099,2012,0.5
p06107,2012,10.0
p06109,2012,5.53
p06115,2012,1.0
p08099,2012,31.0
p08125,2012,1.8
p10005,2012,11.8
p12021,2012,0.2
p12069,2012,3.3
p13267,2012,0.8
p17031,2012,22.6
p18009,2012,1.5
p18053,2012,1.0
p18087,2012,2.5
p18113,2012,2.5
p24001,2012,3.8
p24019,2012,5.5
p24045,2012,13.7
p25003,2012,3.2
p25015,2012,3.5
p25017,2012,9.8
p25027,2012,4.0
p32003,2012,0.68
p32007,2012,92.77
p32017,2012,91.25
p32033,2012,51.1
p34001,2012,3.1
p34005,2012,5.5
p34013,2012,16.0
p34021,2012,6.0
p34025,2012,5.2
p34027,2012,8.2
p34033,2012,4.9
p34041,2012,3.0
p35009,2012,10.0
p35025,2012,18.1
p35059,2012,3.6
p36007,2012,1.5
p36025,2012,2.5
p36105,2012,2.5
p37009,2012,2.0
p37019,2012,5.0
p37021,2012,1.0
p37023,2012,2.0
p37025,2012,4.0
p37027,2012,2.0
p37047,2012,5.0
p37069,2012,5.0
p37079,2012,12.4
p37087,2012,0.54
p37101,2012,10.0
p37113,2012,0.24
p37121,2012,1.5
p37151,2012,4.9
p37153,2012,4.9
p37159,2012,7.5
p37163,2012,5.0
p37179,2012,7.5
p37181,2012,5.0
p37193,2012,2.5
p37197,2012,3.5
p37199,2012,1.2
p39099,2012,3.5
p39111,2012,1.5
p39155,2012,5.8
p41001,2012,4.4
p41045,2012,3.4
p42089,2012,1.3
p42091,2012,6.4
p42127,2012,10.8
p47073,2012,11.8
p48291,2012,5.0
p48373,2012,9.9
p48457,2012,15.5
p49047,2012,1.3
p50017,2012,2.0
p50019,2012,3.8
p04001,2013,172.2
p04003,2013,14.4
p04009,2013,31.3
p04011,2013,25.7
p06007,2013,0.04
p06009,2013,4.0
p06017,2013,8.15
p06019,2013,38.76
p06025,2013,103.49
p06027,2013,162.49
p06029,2013,191.97
p06031,2013,17.75
p06035,2013,9.0
p06037,2013,209.27
p06039,2013,5.41
p06047,2013,2.0
p06049,2013,6.8
p06051,2013,60.0
p06053,2013,2.5
p06057,2013,3.2
p06059,2013,33.4
p06061,2013,2.73
p06063,2013,1.85
p06065,2013,528.04
p06067,2013,0.54
p06069,2013,0.54
p06071,2013,0.2
p06073,2013,200.6
p06077,2013,1.53
p06079,2013,15.36
p06083,2013,22.88
p06085,2013,0.25
p06099,2013,1.83
p06107,2013,80.25
p06109,2013,1.5
p06111,2013,59.46
p08061,2013,1.0
p09180,2013,5.0
p10005,2013,3.9
p13049,2013,1.9
p13183,2013,30.0
p13229,2013,0.9
p13251,2013,7.7
p13305,2013,18.4
p18029,2013,10.0
p18041,2013,8.6
p18087,2013,4.0
p18115,2013,10.0
p18177,2013,10.0
p24035,2013,2.8
p24037,2013,2.0
p24043,2013,1.2
p24045,2013,20.9
p25003,2013,6.0
p25011,2013,3.8
p25015,2013,3.5
p25017,2013,4.9
p25021,2013,5.0
p25027,2013,12.0
p27157,2013,1.7
p32007,2013,30.0
p32017,2013,3.3
p34011,2013,3.0
p34013,2013,11.4
p34031,2013,7.9
p34039,2013,9.8
p35009,2013,5.0
p35025,2013,10.4
p35037,2013,9.4
p35041,2013,4.0
p36017,2013,1.6
p36043,2013,2.0
p37007,2013,9.8
p37009,2013,2.0
p37017,2013,5.0
p37019,2013,20.0
p37023,2013,2.0
p37037,2013,10.0
p37045,2013,2.0
p37061,2013,5.0
p37069,2013,15.0
p37087,2013,0.5
p37101,2013,10.0
p37105,2013,5.0
p37113,2013,1.0
p37119,2013,6.0
p37123,2013,4.9
p37125,2013,10.0
p37127,2013,10.0
p37141,2013,5.0
p37149,2013,3.3
p37155,2013,5.0
