region,year,capacity
p04001,2010,1.6
p04003,2010,1.5
p04009,2010,0.9
p06003,2010,0.54
p06019,2010,1.0
p06027,2010,3.8
p06029,2010,0.6
p06051,2010,1.5
p06071,2010,7.2
p06073,2010,5.0
p06109,2010,0.46
p08061,2010,0.9
p08099,2010,19.0
p12035,2010,12.5
p12055,2010,10.0
p12109,2010,1.2
p24017,2010,1.4
p32003,2010,10.0
p32017,2010,30.0
p32033,2010,8.0
p34001,2010,3.6
p34011,2010,2.7
p35059,2010,30.6
p37005,2010,2.3
p37009,2010,0.5
p37023,2010,0.5
p37045,2010,0.9
p37193,2010,1.0
p37197,2010,1.9
p39013,2010,1.1
p39029,2010,10.0
p42077,2010,1.0
p42095,2010,1.6
p42127,2010,1.3
p48199,2010,13.5
p04001,2011,72.2
p04003,2011,4.5
p04009,2011,1.0
p04011,2011,64.8
p06019,2011,1.5
p06027,2011,41.8
p06029,2011,8.1
p06031,2011,1.5
p06037,2011,1.1
p06039,2011,1.5
p06051,2011,0.5
p06065,2011,20.0
p06071,2011,57.0
p06079,2011,0.5
p06083,2011,0.5
p06107,2011,3.0
p06109,2011,0.3
p06111,2011,2.5
p08009,2011,38.4
p08061,2011,5.5
p10003,2011,1.1
p10005,2011,11.3
p12055,2011,7.4
p12097,2011,10.0
p12127,2011,1.6
p13043,2011,0.6
p18137,2011,1.5
p24005,2011,2.0
p24015,2011,2.1
p24021,2011,2.0
p34001,2011,14.9
p34003,2011,17.7
p34005,2011,16.4
p34007,2011,3.5
p34009,2011,10.7
p34011,2011,2.6
p34013,2011,10.0
p34015,2011,10.5
p34019,2011,3.5
p34021,2011,4.0
p34025,2011,5.0
p34031,2011,12.0
p34033,2011,2.4
p34035,2011,3.8
p34037,2011,7.6
p35009,2011,12.8
p35025,2011,70.1
p35037,2011,2.0
p35041,2011,9.9
p35059,2011,6.0
p36007,2011,2.5
p36023,2011,1.0
p36071,2011,2.0
p36103,2011,31.5
p37009,2011,1.0
p37027,2011,0.9
p37035,2011,3.2
p37067,2011,2.5
p37105,2011,4.9
p37109,2011,1.9
p37157,2011,4.0
p37193,2011,4.0
p39155,2011,8.0
p41045,2011,1.0
p41063,2011,1.6
p42077,2011,1.0
p42089,2011,1.0
p42091,2011,2.6
p42127,2011,2.2
p48005,2011,30.0
p50019,2011,3.4
p04001,2012,222.3
p04003,2012,173.0
p04009,2012,5.0
p04011,2012,90.7
p06003,2012,0.4
p06019,2012,1.5
p06027,2012,18.74
p06029,2012,14.69
p06031,2012,2.0
p06037,2012,1.41
p06039,2012,2.5
p06043,2012,0.5
p06051,2012,3.9
p06059,2012,2.4
p06065,2012,106.0
p06071,2012,262.56
p06073,2012,9.0
p06083,2012,1.0
p06107,2012,3.3
p08095,2012,1.8
p08099,2012,31.0
p10005,2012,11.8
p12097,2012,3.5
p13267,2012,0.8
p17031,2012,22.6
p18065,2012,1.0
p18069,2012,1.0
p18087,2012,4.0
p18179,2012,1.5
p24021,2012,2.8
p24031,2012,1.0
p24045,2012,19.2
p25003,2012,3.2
p25015,2012,3.5
p25017,2012,9.8
p25027,2012,4.0
p32007,2012,75.45
p32017,2012,100.0
p32033,2012,60.35
p34001,2012,11.2
p34003,2012,16.0
p34007,2012,3.1
p34011,2012,4.9
p34019,2012,3.0
p34021,2012,5.5
p34029,2012,8.2
p35025,2012,14.5
p35041,2012,13.6
p35059,2012,3.6
p36017,2012,1.5
p36071,2012,2.5
p36111,2012,2.5
p37005,2012,1.2
p37013,2012,12.4
p37027,2012,0.54
p37059,2012,2.0
p37061,2012,5.0
p37065,2012,10.0
p37083,2012,5.0
p37093,2012,4.9
p37103,2012,5.0
p37107,2012,5.0
p37123,2012,7.5
p37129,2012,5.0
p37151,2012,4.0
p37153,2012,7.5
p37155,2012,4.9
p37157,2012,3.5
p37167,2012,2.5
p37171,2012,2.0
p37179,2012,2.0
p37189,2012,0.24
p37193,2012,2.5
p39007,2012,1.8
p39013,2012,1.5
p39155,2012,7.5
p41045,2012,7.8
p42069,2012,0.8
p42089,2012,1.3
p42091,2012,6.4
p42127,2012,10.0
p47019,2012,7.6
p47171,2012,4.2
p48005,2012,19.8
p48373,2012,5.6
p48457,2012,5.0
p49019,2012,0.8
p49047,2012,0.5
p50017,2012,2.0
p50019,2012,3.8
p04001,2013,143.7
p04003,2013,38.0
p04009,2013,24.0
p04011,2013,37.9
p06019,2013,2.54
p06025,2013,662.61
p06027,2013,47.5
p06029,2013,20.98
p06031,2013,0.04
p06037,2013,10.5
p06039,2013,0.73
p06051,2013,6.0
p06059,2013,2.5
p06065,2013,424.87
p06071,2013,347.95
p06073,2013,236.71
p06079,2013,1.04
p06083,2013,1.83
p06107,2013,10.0
p08061,2013,1.0
p09180,2013,5.0
p10005,2013,3.9
p13025,2013,0.9
p13031,2013,30.0
p13039,2013,2.4
p13049,2013,1.9
p13179,2013,23.7
p18029,2013,10.0
p18087,2013,2.0
p18115,2013,8.6
p18135,2013,10.0
p18177,2013,10.0
p18179,2013,2.0
p24003,2013,2.0
p24019,2013,2.8
p24027,2013,1.2
p24045,2013,20.9
p25003,2013,6.0
p25011,2013,3.8
p25015,2013,3.5
p25017,2013,4.9
p25021,2013,5.0
p25027,2013,12.0
p27169,2013,1.7
p32007,2013,30.0
p32017,2013,3.3
p34001,2013,3.0
p34029,2013,21.2
p34037,2013,7.9
p35009,2013,1.0
p35025,2013,15.4
p35037,2013,2.0
p35041,2013,10.4
p36007,2013,1.6
p36043,2013,2.0
p37001,2013,4.9
p37005,2013,1.6
p37007,2013,8.5
p37009,2013,0.5
p37017,2013,10.0
p37025,2013,2.0
p37027,2013,0.5
p37037,2013,4.9
p37045,2013,1.0
p37047,2013,5.0
p37051,2013,5.0
p37061,2013,5.0
p37065,2013,20.0
p37071,2013,1.5
p37079,2013,15.0
p37083,2013,15.0
p37093,2013,4.9
p37097,2013,1.8
p37101,2013,5.0
p37103,2013,10.0
p37107,2013,15.0
p37131,2013,5.0
p37133,2013,10.0
p37141,2013,10.0
p37147,2013,5.0
p37159,2013,2.0
p37171,2013,1.9
p37183,2013,5.0
p37193,2013,1.5
p37197,2013,2.0
p39029,2013,1.8
p42017,2013,2.9
p45041,2013,2.5
p48347,2013,50.7
p50009,2013,4.5
p50017,2013,1.9
p50019,2013,2.0
p55133,2013,1.0
p04001,2014,74.5
p04003,2014,19.6
p04009,2014,12.6
p04011,2014,121.0
p06019,2014,0.25
p06025,2014,800.94
p06027,2014,37.54
p06029,2014,29.2
p06031,2014,0.43
p06037,2014,32.2
p06039,2014,0.5
p06051,2014,8.0
p06059,2014,2.0
p06065,2014,341.53
p06071,2014,395.79
p06073,2014,341.79
p06079,2014,0.26
p06083,2014,0.39
p06107,2014,18.8
p06111,2014,4.68
p08009,2014,1.6
p08063,2014,1.5
p08095,2014,1.6
p09160,2014,2.0
p09180,2014,4.0
p13031,2014,6.5
p13049,2014,1.6
p13165,2014,1.0
p13245,2014,2.0
p13267,2014,1.0
p17111,2014,0.3
p18035,2014,1.0
p18041,2014,2.8
p18047,2014,5.4
p18069,2014,1.0
p18113,2014,2.7
p18137,2014,0.09
p18155,2014,10.9
p18177,2014,16.91
p18183,2014,1.0
p24013,2014,1.2
p24027,2014,1.5
p24033,2014,1.7
p25001,2014,6.3
p25003,2014,12.2
p25005,2014,14.8
p25009,2014,5.0
p25011,2014,10.9
p25017,2014,9.5
p25023,2014,5.0
p25027,2014,20.8
p29155,2014,2.8
p29201,2014,9.4
p32007,2014,134.79
p32017,2014,112.71
p34005,2014,15.0
p34021,2014,3.77
p34027,2014,12.5
p34033,2014,2.3
p34035,2014,4.73
p34041,2014,2.6
p35009,2014,1.5
p35025,2014,52.2
p35037,2014,6.1
p36017,2014,1.8
p36049,2014,1.8
p36053,2014,1.0
p36065,2014,1.0
p36089,2014,2.0
p37003,2014,1.5
p37007,2014,3.0
p37009,2014,1.5
p37013,2014,20.0
p37015,2014,20.0
p37017,2014,15.0
p37019,2014,20.0
p37023,2014,1.5
p37025,2014,2.0
p37027,2014,3.0
p37033,2014,9.7
p37037,2014,5.0
p37045,2014,3.0
p37047,2014,20.0
p37049,2014,5.0
p37059,2014,2.0
p37069,2014,10.0
p37071,2014,1.3
p37073,2014,20.0
p37077,2014,5.0
p37081,2014,11.2
p37085,2014,5.0
p37097,2014,1.9
p37101,2014,10.0
p37103,2014,10.0
p37105,2014,4.9
p37107,2014,5.0
p37109,2014,2.0
p37123,2014,7.0
p37125,2014,22.5
p37127,2014,5.0
p37131,2014,20.0
p37133,2014,5.0
p37135,2014,4.9
p37141,2014,5.0
p37145,2014,10.0
p37147,2014,10.0
p37151,2014,9.5
p37153,2014,8.3
p37155,2014,14.9
p37161,2014,0.5
p37163,2014,15.0
p37167,2014,2.0
p37169,2014,3.0
p37171,2014,2.0
p37179,2014,2.0
p37183,2014,5.0
p37189,2014,1.5
p37193,2014,1.0
p37197,2014,4.0
p39019,2014,0.1
p39029,2014,1.51
p39085,2014,0.9
p39133,2014,0.08
p41001,2014,1.2
p41045,2014,1.7
p47019,2014,31.6
p48071,2014,10.3
p48199,2014,4.4
p48347,2014,39.6
p50005,2014,6.3
p50017,2014,5.3
p50019,2014,6.3
p50027,2014,2.0
p01069,2015,30.0
p04001,2015,15.6
p04003,2015,44.0
p04011,2015,61.0
p05093,2015,12.0
p06019,2015,5.0
p06025,2015,194.9
p06027,2015,27.73
p06029,2015,15.64
p06031,2015,1.5
p06037,2015,17.5
p06039,2015,2.5
p06043,2015,1.0
p06051,2015,4.0
p06065,2015,67.98
p06071,2015,687.61
p06073,2015,177.58
p06079,2015,0.5
p06083,2015,3.0
p06107,2015,7.06
p06109,2015,0.2
p06111,2015,4.5
p08009,2015,53.5
p08017,2015,6.0
p08063,2015,1.2
p08095,2015,4.0
p08099,2015,1.2
p10001,2015,1.2
p12051,2015,7.6
p12055,2015,1.9
p13031,2015,20.0
p13033,2015,1.0
p13039,2015,19.0
p13103,2015,80.0
p13127,2015,4.1
p13165,2015,1.1
p13251,2015,20.0
p13305,2015,0.3
p17183,2015,4.7
p17193,2015,0.9
p18035,2015,3.6
p18041,2015,4.5
p18065,2015,3.0
p18075,2015,3.0
