region,year,capacity
p105,2010,182.5
p107,2010,130.0
p11,2010,101.2
p116,2010,100.5
p121,2010,70.0
p131,2010,4.7
p134,2010,91.5
p16,2010,205.8
p2,2010,106.7
p23,2010,174.0
p24,2010,137.0
p26,2010,1.5
p29,2010,65.1
p3,2010,140.0
p31,2010,102.4
p34,2010,51.0
p37,2010,221.1
p38,2010,309.0
p40,2010,60.0
p43,2010,308.8
p45,2010,1.5
p5,2010,9.0
p50,2010,203.0
p51,2010,147.2
p53,2010,60.5
p63,2010,76.1
p64,2010,177.6
p65,2010,300.0
p66,2010,168.0
p68,2010,60.0
p7,2010,321.7
p70,2010,4.5
p72,2010,48.0
p75,2010,20.0
p8,2010,1.0
p83,2010,500.0
p84,2010,120.0
p9,2010,36.8
p10,2011,745.7
p103,2011,192.0
p11,2011,204.5
p112,2011,401.0
p116,2011,150.5
p121,2011,50.0
p122,2011,41.2
p127,2011,125.3
p129,2011,40.0
p131,2011,16.6
p134,2011,80.0
p16,2011,266.9
p2,2011,198.8
p25,2011,102.0
p28,2011,10.0
p33,2011,248.3
p34,2011,252.0
p38,2011,172.0
p40,2011,40.5
p41,2011,82.9
p43,2011,498.6
p45,2011,4.6
p47,2011,50.4
p5,2011,156.0
p50,2011,330.6
p63,2011,12.1
p65,2011,408.2
p68,2011,61.2
p69,2011,184.4
p7,2011,46.2
p70,2011,556.1
p75,2011,162.0
p8,2011,3.5
p80,2011,30.0
p83,2011,661.7
p9,2011,1.0
p10,2012,1157.6
p103,2012,610.2
p105,2012,200.0
p11,2012,778.5
p112,2012,1.0
p12,2012,150.0
p122,2012,552.8
p126,2012,0.1
p127,2012,234.4
p129,2012,75.0
p130,2012,147.0
p131,2012,39.0
p134,2012,85.1
p16,2012,293.7
p2,2012,198.7
p29,2012,99.2
p3,2012,253.6
p33,2012,217.0
p34,2012,283.0
p35,2012,254.2
p37,2012,255.0
p40,2012,119.9
p43,2012,230.0
p47,2012,27.3
p5,2012,681.0
p50,2012,1102.86
p51,2012,214.94
p53,2012,1646.8
p63,2012,493.0
p64,2012,98.6
p65,2012,949.3
p67,2012,54.0
p68,2012,36.0
p69,2012,516.9
p7,2012,164.0
p70,2012,177.7
p75,2012,4.8
p80,2012,154.5
p83,2012,628.3
p9,2012,18.4
p103,2013,175.1
p112,2013,3.4
p127,2013,94.4
p33,2013,8.0
p34,2013,25.1
p41,2013,74.8
p53,2013,249.8
p64,2013,150.0
p70,2013,44.6
p10,2014,150.0
p103,2014,368.2
p105,2014,200.0
p11,2014,78.0
p121,2014,40.0
p127,2014,16.2
p134,2014,8.5
p3,2014,266.8
p31,2014,9.9
p33,2014,34.0
p34,2014,229.2
p35,2014,19.7
p38,2014,19.5
p40,2014,75.0
p41,2014,200.6
p43,2014,50.0
p47,2014,24.9
p50,2014,646.6
p57,2014,240.0
p63,2014,1029.8
p64,2014,125.0
p65,2014,458.16
p66,2014,126.6
p69,2014,448.2
p70,2014,60.0
p8,2014,1.0
p9,2014,1.0
p10,2015,165.1
p11,2015,99.0
p121,2015,30.0
p132,2015,5.0
p134,2015,173.7
p28,2015,30.0
p33,2015,52.0
p34,2015,348.0
p37,2015,457.2
p38,2015,174.3
p40,2015,80.2
p43,2015,195.8
p47,2015,250.0
p50,2015,998.9
p51,2015,223.0
p53,2015,599.8
p57,2015,264.0
p63,2015,1274.2
p64,2015,373.2
p65,2015,840.8
p66,2015,594.6
p67,2015,72.0
p69,2015,483.6
p70,2015,140.7
p80,2015,42.0
p81,2015,54.0
p83,2015,177.0
p9,2015,22.3
p103,2016,79.4
p105,2016,150.0
p112,2016,100.8
p116,2016,103.0
p122,2016,38.3
p127,2016,77.7
p130,2016,12.1
p131,2016,7.9
p134,2016,286.0
p24,2016,80.0
p25,2016,62.1
p26,2016,1.7
p34,2016,60.8
p35,2016,25.0
p37,2016,594.2
p40,2016,37.5
p41,2016,400.0
p43,2016,291.0
p47,2016,50.0
p50,2016,1493.7
p51,2016,147.0
p53,2016,879.3
p57,2016,102.0
p63,2016,739.4
p64,2016,102.0
p65,2016,803.0
p66,2016,770.0
p69,2016,382.5
p7,2016,10.0
p70,2016,223.8
p83,2016,184.0
p84,2016,195.8
p98,2016,208.0
p10,2017,46.0
p103,2017,249.0
p105,2017,28.0
p107,2017,191.7
p11,2017,143.0
p112,2017,66.0
p129,2017,30.0
p134,2017,22.8
p31,2017,364.3
p34,2017,75.0
p37,2017,249.3
p40,2017,8.6
p41,2017,89.7
p43,2017,200.0
p47,2017,287.9
p50,2017,696.2
p51,2017,154.5
p53,2017,658.8
p57,2017,54.0
p63,2017,854.6
p64,2017,155.4
p65,2017,345.1
p66,2017,712.0
p69,2017,179.0
p7,2017,50.0
p70,2017,20.4
p72,2017,300.0
p75,2017,42.0
p79,2017,56.0
p80,2017,0.1
p83,2017,278.0
p9,2017,3.8
p103,2018,44.0
