region,year,capacity
p04001,2010,65.1
p06003,2010,36.8
p06049,2010,1.0
p06073,2010,101.2
p08017,2010,51.0
p16007,2010,105.75
p16019,2010,37.8
p16081,2010,62.25
p17075,2010,300.0
p17183,2010,200.0
p18053,2010,1.0
p18065,2010,27.7
p18069,2010,181.5
p18139,2010,102.3
p19007,2010,4.5
p19033,2010,1.5
p20031,2010,12.5
p20207,2010,48.0
p23029,2010,91.5
p24023,2010,34.0
p24043,2010,36.0
p25011,2010,1.7
p25027,2010,3.0
p27031,2010,200.0
p27055,2010,60.0
p27075,2010,88.8
p27137,2010,20.0
p29155,2010,120.0
p29201,2010,48.0
p31039,2010,60.0
p35059,2010,102.4
p38067,2010,152.3
p38073,2010,62.4
p38081,2010,6.4
p40035,2010,48.0
p40061,2010,103.8
p40105,2010,99.2
p40121,2010,99.2
p41001,2010,98.7
p41045,2010,223.0
p41063,2010,9.0
p46011,2010,309.0
p48147,2010,36.0
p48175,2010,150.0
p48185,2010,144.0
p48221,2010,10.0
p48313,2010,20.1
p48339,2010,168.0
p48367,2010,10.0
p48391,2010,78.0
p48409,2010,72.0
p48471,2010,33.6
p49047,2010,1.5
p53003,2010,106.7
p53075,2010,140.0
p54077,2010,100.5
p55075,2010,20.0
p56011,2010,174.0
p56027,2010,137.0
p04011,2011,10.0
p06019,2011,1.0
p06025,2011,390.0
p06029,2011,78.2
p06049,2011,3.5
p06051,2011,30.0
p06065,2011,228.0
p06073,2011,204.5
p06111,2011,19.5
p08017,2011,252.0
p08125,2011,248.3
p16007,2011,100.5
p16019,2011,51.0
p16029,2011,46.4
p16043,2011,12.0
p16065,2011,12.0
p16081,2011,45.0
p17019,2011,150.4
p17023,2011,48.0
p17041,2011,120.0
p17075,2011,102.4
p17091,2011,30.0
p17147,2011,1.5
p17183,2011,239.4
p19019,2011,65.6
p19045,2011,227.2
p19051,2011,9.7
p19065,2011,54.0
p19069,2011,1.5
p19095,2011,60.0
p19097,2011,216.0
p19101,2011,40.0
p19131,2011,64.8
p19135,2011,3.2
p19195,2011,3.1
p23029,2011,80.0
p24023,2011,50.0
p25003,2011,1.6
p25027,2011,15.0
p26001,2011,30.0
p26033,2011,126.0
p26119,2011,36.0
p27017,2011,0.5
p27031,2011,406.8
p27045,2011,60.0
p27075,2011,25.64
p27099,2011,1.2
p27115,2011,0.36
p27137,2011,49.3
p27169,2011,16.0
p31037,2011,3.0
p31043,2011,40.5
p31131,2011,79.9
p35025,2011,50.4
p36041,2011,74.0
p36089,2011,51.3
p39059,2011,54.0
p39115,2011,56.0
p39117,2011,99.0
p39119,2011,78.0
p39121,2011,114.0
p40091,2011,57.8
p40121,2011,172.0
p40127,2011,100.8
p41045,2011,46.2
p41063,2011,156.0
p42107,2011,41.2
p46051,2011,66.0
p46083,2011,33.3
p46109,2011,11.1
p46127,2011,61.6
p48143,2011,2.1
p48193,2011,10.0
p48255,2011,78.2
p48261,2011,188.1
p48273,2011,16.5
p48297,2011,44.09
p48409,2011,81.31
p49037,2011,102.0
p50009,2011,40.0
p53003,2011,198.8
p54041,2011,52.9
p54097,2011,97.6
p55029,2011,162.0
p04001,2012,99.2
p06019,2012,3.2
p06025,2012,180.0
p06029,2012,78.2
p06039,2012,1.0
p06043,2012,1.6
p06047,2012,1.5
p06051,2012,49.0
p06063,2012,1.0
p06065,2012,778.4
p06071,2012,72.0
p06073,2012,778.5
p06083,2012,2.6
p06109,2012,7.5
p08009,2012,254.0
p08095,2012,71.0
p08099,2012,29.0
p08125,2012,146.0
p16007,2012,108.9
p16043,2012,184.8
p17023,2012,54.0
p17033,2012,54.0
p17035,2012,36.0
p17063,2012,81.0
p17091,2012,73.5
p17183,2012,484.3
p18135,2012,200.0
p19007,2012,11.4
p19023,2012,3.2
p19037,2012,99.0
p19043,2012,200.0
p19051,2012,30.6
p19065,2012,100.9
p19067,2012,3.4
p19075,2012,4.8
p19099,2012,8.0
p19127,2012,1.6
p19135,2012,1.6
p19157,2012,44.5
p19171,2012,80.0
p19191,2012,105.6
p20001,2012,24.0
p20003,2012,68.0
p20013,2012,201.0
p20031,2012,143.0
p20037,2012,426.0
p20043,2012,44.4
p20059,2012,240.0
p20133,2012,33.6
p20139,2012,194.9
p20207,2012,271.9
p23029,2012,85.1
p25003,2012,1.5
p25011,2012,2.0
p25015,2012,3.0
p25027,2012,32.5
p26001,2012,54.0
p26031,2012,28.0
p26033,2012,192.0
p26057,2012,32.0
p26069,2012,4.8
p26097,2012,10.0
p26111,2012,14.0
p26119,2012,54.0
p26135,2012,51.0
p26145,2012,116.4
p26157,2012,54.0
p27031,2012,200.0
p27045,2012,36.0
p27169,2012,30.0
p30011,2012,9.6
p30083,2012,10.0
p30085,2012,184.6
p30091,2012,50.0
p31039,2012,111.94
p31051,2012,7.96
p32007,2012,96.0
p32033,2012,54.0
p33007,2012,147.0
p34001,2012,0.1
p35025,2012,27.3
p36019,2012,108.0
p36041,2012,15.0
p36089,2012,4.1
p36091,2012,47.3
p36113,2012,60.0
p38035,2012,45.0
p38067,2012,105.0
p38099,2012,105.0
p39101,2012,1.0
p40005,2012,99.8
p40077,2012,235.2
p40089,2012,290.76
p40105,2012,132.0
p40111,2012,34.94
p40127,2012,477.1
p40147,2012,48.0
p41001,2012,20.0
p41045,2012,144.0
p41063,2012,681.0
p42011,2012,48.2
p42025,2012,187.4
p42069,2012,27.0
p42079,2012,70.4
p42103,2012,139.4
p42107,2012,50.4
p42131,2012,30.0
p48021,2012,42.0
p48035,2012,215.0
p48099,2012,60.0
p48145,2012,54.0
p48149,2012,5.0
p48157,2012,54.0
p48185,2012,15.6
p48193,2012,30.0
p48217,2012,24.0
p48237,2012,20.0
p48261,2012,99.8
p48287,2012,36.0
p48309,2012,90.0
p48321,2012,463.0
p48469,2012,161.0
p48481,2012,72.0
p48489,2012,153.5
p50009,2012,75.0
p53003,2012,198.7
p53051,2012,105.3
p53063,2012,60.0
p53075,2012,88.3
p55083,2012,4.8
p08009,2013,25.1
p08125,2013,8.0
p19157,2013,44.6
p20003,2013,60.0
p20045,2013,48.0
p20087,2013,141.8
p26007,2013,90.0
p26051,2013,36.0
p26135,2013,10.3
p26141,2013,38.8
p31131,2013,74.8
p36033,2013,60.0
p36041,2013,34.4
p39079,2013,3.4
p48123,2013,54.0
p48177,2013,96.0
p06043,2014,1.0
p06049,2014,1.0
p06065,2014,150.0
p06073,2014,78.0
p08009,2014,200.6
p08063,2014,28.6
p08115,2014,34.0
p18001,2014,108.0
p18075,2014,56.0
p18151,2014,36.0
p19005,2014,114.0
p19019,2014,138.6
p19043,2014,76.0
p19139,2014,60.0
p19191,2014,119.6
p23029,2014,8.5
p24023,2014,40.0
p26051,2014,74.8
p26057,2014,49.6
p26059,2014,20.0
p26069,2014,69.0
p26111,2014,50.4
p26119,2014,42.0
p26141,2014,42.0
p26145,2014,20.4
p27075,2014,50.0
p30025,2014,9.7
p30091,2014,10.0
p31051,2014,1.9
p31067,2014,73.1
p31131,2014,200.6
p35025,2014,5.0
p35037,2014,9.9
p35041,2014,10.0
p35059,2014,9.9
p36105,2014,16.2
p40005,2014,98.6
p40077,2014,150.0
p40127,2014,398.0
p46109,2014,19.5
p48001,2014,109.2
p48037,2014,162.0
p48057,2014,162.0
p48097,2014,36.0
p48119,2014,54.0
p48123,2014,71.0
p48139,2014,36.0
p48149,2014,54.0
p48181,2014,90.0
p48213,2014,48.0
p48225,2014,429.0
p48239,2014,26.0
p48261,2014,69.96
p48293,2014,55.7
p48387,2014,132.0
p48401,2014,39.9
p48449,2014,48.0
p48457,2014,126.6
p48459,2014,30.0
p48481,2014,200.0
p48489,2014,0.2
p53051,2014,86.8
p53075,2014,180.0
p04003,2015,30.0
p06029,2015,87.1
p06039,2015,19.8
p06061,2015,2.5
p06065,2015,78.0
p06073,2015,99.0
p08009,2015,138.0
p08017,2015,60.0
p08061,2015,150.0
p08095,2015,52.0
p09150,2015,5.0
p17053,2015,2.0
p17075,2015,175.0
p17105,2015,42.0
p17191,2015,54.0
p19007,2015,4.7
p19013,2015,100.0
p19019,2015,115.0
p19037,2015,263.9
p19131,2015,4.7
p19135,2015,1.9
p19171,2015,95.1
p19179,2015,39.0
p20005,2015,24.0
p20031,2015,150.0
p20087,2015,375.1
p20139,2015,50.7
p23029,2015,173.7
p24023,2015,30.0
p27075,2015,195.8
p31067,2015,6.8
p31173,2015,73.4
p35009,2015,64.0
p35025,2015,186.0
p38017,2015,255.4
p38077,2015,201.8
p40005,2015,98.8
p40021,2015,23.0
p40023,2015,10.0
p40035,2015,200.0
p40077,2015,150.4
p40079,2015,204.0
p40089,2015,371.7
p40091,2015,74.0
p40127,2015,90.0
p46039,2015,174.3
p48007,2015,114.0
p48035,2015,260.0
p48037,2015,54.0
p48057,2015,96.0
p48061,2015,138.0
p48067,2015,210.0
p48089,2015,54.0
p48097,2015,264.0
p48123,2015,54.0
p48139,2015,92.0
p48147,2015,42.0
p48157,2015,72.0
p48161,2015,240.0
p48175,2015,66.0
p48177,2015,54.0
p48193,2015,20.0
p48199,2015,35.7
p48239,2015,164.0
p48261,2015,2.8
p48277,2015,30.0
p48289,2015,118.1
p48291,2015,144.0
p48293,2015,44.0
p48339,2015,249.2
p48349,2015,150.0
p48363,2015,2.1
p48373,2015,63.7
p48391,2015,156.0
p48407,2015,42.0
p48455,2015,60.0
p48471,2015,211.2
p48481,2015,54.0
p48489,2015,50.0
p48497,2015,12.0
p08017,2016,60.8
p17075,2016,184.0
p18009,2016,144.0
p18035,2016,6.0
p19013,2016,60.0
p19023,2016,3.0
p19037,2016,61.9
