region,year,capacity
p10,2010,139.0
p105,2010,103.3
p107,2010,209.2
p116,2010,100.5
p123,2010,70.0
p131,2010,4.7
p134,2010,91.5
p16,2010,205.8
p23,2010,200.0
p24,2010,111.0
p26,2010,1.5
p28,2010,32.55
p29,2010,32.55
p3,2010,246.7
p31,2010,102.4
p34,2010,51.0
p37,2010,221.1
p38,2010,309.0
p41,2010,60.0
p43,2010,368.8
p5,2010,161.0
p50,2010,198.4
p51,2010,151.8
p53,2010,60.5
p66,2010,721.7
p7,2010,169.7
p70,2010,6.0
p75,2010,20.0
p80,2010,300.0
p83,2010,200.0
p84,2010,168.0
p10,2011,954.7
p103,2011,192.0
p111,2011,401.0
p116,2011,150.5
p122,2011,41.2
p123,2011,50.0
p127,2011,125.3
p129,2011,40.0
p131,2011,21.1
p134,2011,80.0
p16,2011,266.9
p2,2011,50.0
p25,2011,102.0
p29,2011,10.0
p3,2011,148.8
p34,2011,500.3
p38,2011,172.0
p41,2011,123.4
p43,2011,526.16
p47,2011,50.4
p5,2011,199.2
p50,2011,330.6
p57,2011,44.09
p63,2011,12.1
p66,2011,364.11
p68,2011,33.64
p69,2011,33.7
p7,2011,3.0
p70,2011,711.4
p75,2011,162.0
p80,2011,150.4
p83,2011,541.3
p10,2012,1954.5
p103,2012,610.2
p105,2012,200.0
p111,2012,1.0
p12,2012,150.0
p122,2012,552.8
p126,2012,0.1
p127,2012,19.1
p128,2012,215.3
p129,2012,75.0
p130,2012,147.01
p131,2012,40.5
p133,2012,1.5
p134,2012,85.1
p16,2012,293.7
p2,2012,204.0
p29,2012,99.2
p3,2012,248.3
p33,2012,71.0
p34,2012,429.0
p35,2012,254.2
p37,2012,255.0
p41,2012,119.9
p43,2012,236.0
p47,2012,27.3
p5,2012,845.0
p50,2012,698.44
p51,2012,619.36
p53,2012,1646.8
p63,2012,637.2
p66,2012,957.7
p68,2012,30.0
p69,2012,35.4
p70,2012,659.2
p75,2012,4.8
p83,2012,782.8
p103,2013,175.1
p111,2013,3.4
p127,2013,94.4
p34,2013,33.1
p41,2013,74.8
p53,2013,249.8
p57,2013,150.0
p70,2013,44.6
p10,2014,230.0
p103,2014,368.2
p107,2014,200.0
p123,2014,40.0
p128,2014,16.2
p134,2014,8.5
p3,2014,266.8
p31,2014,9.9
p33,2014,62.6
p34,2014,200.6
p35,2014,19.7
p38,2014,19.5
p41,2014,275.6
p43,2014,50.0
p47,2014,24.9
p50,2014,398.0
p51,2014,248.6
p57,2014,945.2
p63,2014,347.0
p66,2014,687.36
p70,2014,508.2
p10,2015,286.4
p123,2015,30.0
p132,2015,5.0
p134,2015,173.7
p28,2015,30.0
p34,2015,400.0
p37,2015,457.2
p38,2015,174.3
p41,2015,80.2
p43,2015,195.8
p47,2015,250.0
p50,2015,898.7
p51,2015,323.2
p53,2015,599.8
p57,2015,2015.0
p63,2015,22.1
p66,2015,1333.7
p67,2015,48.0
p69,2015,116.4
p70,2015,507.9
p83,2015,273.0
p103,2016,79.4
p107,2016,150.0
p111,2016,100.8
p116,2016,103.0
p122,2016,38.3
p127,2016,77.7
p130,2016,12.1
p131,2016,7.9
p133,2016,15.0
p134,2016,286.0
p24,2016,80.0
p25,2016,62.1
p26,2016,1.7
p34,2016,60.8
p35,2016,25.0
p37,2016,594.2
p41,2016,437.5
p43,2016,291.0
p47,2016,50.0
p5,2016,10.0
p50,2016,782.9
p51,2016,857.8
p53,2016,879.3
p57,2016,1364.4
p63,2016,200.0
p66,2016,952.0
p69,2016,146.3
p70,2016,460.0
p80,2016,184.0
p84,2016,195.8
p98,2016,208.0
p10,2017,192.8
p103,2017,249.0
p105,2017,219.7
p111,2017,66.0
p129,2017,30.0
p133,2017,1.5
