region,year,capacity
p04001,2010,32.55
p04011,2010,32.55
p06071,2010,139.0
p08099,2010,51.0
p16007,2010,83.25
p16043,2010,84.75
p16081,2010,37.8
p17091,2010,300.0
p17183,2010,200.0
p18075,2010,103.3
p18115,2010,103.5
p18177,2010,105.7
p19103,2010,4.5
p19183,2010,1.5
p20021,2010,48.0
p20103,2010,12.5
p23029,2010,91.5
p24047,2010,70.0
p25023,2010,4.7
p27031,2010,348.8
p27075,2010,20.0
p29143,2010,168.0
p31133,2010,60.0
p35059,2010,102.4
p38017,2010,36.8
p38077,2010,62.4
p38097,2010,121.9
p40041,2010,151.8
p40089,2010,198.4
p41045,2010,169.7
p41063,2010,161.0
p46039,2010,99.0
p46099,2010,210.0
p48071,2010,300.0
p48245,2010,201.6
p48347,2010,20.0
p48457,2010,200.1
p49047,2010,1.5
p53063,2010,196.7
p53075,2010,50.0
p54003,2010,100.5
p55061,2010,20.0
p56011,2010,200.0
p56027,2010,111.0
p04001,2011,10.0
p06025,2011,219.0
p06027,2011,2.0
p06065,2011,486.0
p06071,2011,247.7
p08009,2011,252.0
p08063,2011,248.3
p16007,2011,32.9
p16019,2011,112.2
p16029,2011,34.5
p16043,2011,43.5
p16081,2011,43.8
p17033,2011,151.5
p17075,2011,239.4
p17183,2011,150.4
p17197,2011,150.4
p19005,2011,33.7
p19057,2011,100.0
p19097,2011,443.2
p19105,2011,119.6
p19113,2011,8.88
p19139,2011,36.72
p19183,2011,3.0
p23029,2011,80.0
p24045,2011,10.0
p24047,2011,40.0
p25001,2011,15.0
p25005,2011,1.5
p25023,2011,4.6
p26151,2011,192.0
p27031,2011,406.8
p27045,2011,8.0
p27049,2011,0.26
p27055,2011,25.64
p27075,2011,113.7
p27115,2011,0.5
p27137,2011,4.8
p27157,2011,0.1
p31025,2011,120.4
p31177,2011,3.0
p35025,2011,50.4
p36019,2011,66.0
p36021,2011,51.3
p36083,2011,8.0
p39007,2011,50.0
p39099,2011,252.0
p39155,2011,99.0
p40079,2011,100.8
p40089,2011,99.8
p40135,2011,130.0
p41045,2011,3.0
p41063,2011,199.2
p42017,2011,38.0
p42095,2011,3.2
p46101,2011,159.3
p46127,2011,12.7
p48005,2011,10.0
p48183,2011,44.09
p48291,2011,66.13
p48347,2011,81.31
p48373,2011,216.67
p48387,2011,2.1
p49037,2011,102.0
p50009,2011,40.0
p53003,2011,50.0
p53075,2011,148.8
p54003,2011,150.5
p55029,2011,162.0
p04001,2012,99.2
p06025,2012,546.6
p06065,2012,516.7
p06071,2012,891.2
p08009,2012,200.0
p08061,2012,29.0
p08063,2012,200.0
p08125,2012,71.0
p16007,2012,46.0
p16019,2012,62.9
p16029,2012,46.0
p16043,2012,23.0
p16081,2012,115.8
p17023,2012,392.3
p17075,2012,390.5
p18003,2012,200.0
p19005,2012,30.6
p19043,2012,4.8
p19045,2012,200.0
p19055,2012,12.3
p19057,2012,100.9
p19061,2012,99.0
p19087,2012,0.7
p19105,2012,44.5
p19111,2012,10.3
p19113,2012,5.0
p19139,2012,185.6
p19183,2012,0.9
p20011,2012,182.85
p20021,2012,165.6
p20037,2012,214.95
p20103,2012,108.0
p20107,2012,200.0
p20121,2012,775.4
p23029,2012,85.1
p25001,2012,32.5
p25009,2012,1.5
p25023,2012,6.5
p26063,2012,81.6
p26099,2012,32.0
p26147,2012,211.2
p26151,2012,285.4
p27031,2012,200.0
p27055,2012,30.0
p27169,2012,36.0
p30011,2012,9.6
p30025,2012,10.0
p30083,2012,50.0
p30085,2012,184.6
p31025,2012,32.04
p31055,2012,64.0
p31131,2012,15.9
p31133,2012,7.96
p32007,2012,150.0
p33003,2012,10.4
p33015,2012,136.61
p34025,2012,0.1
p35041,2012,27.3
p36083,2012,15.0
p36103,2012,215.3
p36119,2012,4.1
p38017,2012,150.0
p38097,2012,105.0
p39029,2012,1.0
p40001,2012,439.56
p40021,2012,99.8
p40041,2012,80.0
p40079,2012,465.64
p40089,2012,100.8
p40135,2012,132.0
p41063,2012,845.0
p42017,2012,69.0
p42089,2012,50.4
p42095,2012,70.4
p42103,2012,284.8
p42127,2012,78.2
p44007,2012,1.5
p48005,2012,376.0
p48071,2012,203.0
p48199,2012,201.6
p48291,2012,92.3
p48373,2012,99.8
p48387,2012,61.2
p48401,2012,200.0
p48457,2012,361.0
p50009,2012,75.0
p53003,2012,204.0
p53051,2012,105.3
p53075,2012,143.0
p55075,2012,4.8
p08009,2013,6.0
p08017,2013,2.0
p08061,2013,25.1
p19055,2013,44.6
p20091,2013,249.8
p26063,2013,74.8
p26151,2013,100.3
p31147,2013,74.8
p36021,2013,94.4
p39155,2013,3.4
p48203,2013,150.0
p06025,2014,91.0
p06065,2014,139.0
p08017,2014,200.6
p08125,2014,62.6
p18029,2014,200.0
p19061,2014,138.6
p19105,2014,119.6
p19163,2014,250.0
p23029,2014,8.5
p24047,2014,40.0
p26063,2014,174.8
p26099,2014,82.4
p26151,2014,111.0
p27075,2014,50.0
p30083,2014,9.7
p30091,2014,10.0
p31021,2014,1.9
p31025,2014,14.6
p31147,2014,73.1
p31153,2014,186.0
p35025,2014,10.0
p35037,2014,9.9
p35041,2014,5.0
p35059,2014,9.9
p36103,2014,16.2
p40041,2014,248.6
p40089,2014,398.0
p46101,2014,19.5
p48005,2014,347.0
p48037,2014,253.0
p48067,2014,203.6
p48071,2014,188.0
p48203,2014,458.0
p48291,2014,70.16
p48365,2014,30.6
p48405,2014,211.2
p48419,2014,218.0
p53063,2014,266.8
p04003,2015,30.0
p06025,2015,264.1
p06065,2015,2.5
p06071,2015,19.8
p08009,2015,250.0
p08063,2015,150.0
p09150,2015,5.0
p17183,2015,175.0
p17185,2015,98.0
p19031,2015,332.1
p19043,2015,116.4
p19055,2015,9.4
p19087,2015,1.9
p19111,2015,58.0
p19115,2015,20.7
p19139,2015,85.8
p20021,2015,50.7
p20037,2015,198.6
p20107,2015,200.5
p20121,2015,150.0
p23029,2015,173.7
p24047,2015,30.0
p27031,2015,195.8
p31127,2015,73.4
p31133,2015,6.8
p35025,2015,250.0
p38077,2015,309.3
p38097,2015,147.9
p40021,2015,74.0
p40041,2015,150.4
p40089,2015,898.7
p40115,2015,98.8
p46051,2015,174.3
p48037,2015,344.0
p48067,2015,1010.9
p48071,2015,227.0
p48167,2015,48.0
p48203,2015,400.1
p48245,2015,249.7
p48291,2015,78.0
p48343,2015,110.0
p48347,2015,165.0
p48365,2015,150.0
p48387,2015,2.1
p48401,2015,20.0
p48405,2015,211.2
p48407,2015,2.8
p48419,2015,200.0
p48457,2015,200.0
p08099,2016,60.8
p17197,2016,184.0
p18177,2016,150.0
p19005,2016,82.7
p19031,2016,108.7
p19043,2016,63.6
p19055,2016,48.3
p19057,2016,60.0
p19105,2016,212.4
p19113,2016,3.0
p19115,2016,27.6
p20011,2016,200.0
p20037,2016,271.0
p20107,2016,200.0
p20121,2016,208.3
p23029,2016,286.0
p25001,2016,7.9
p26151,2016,79.4
p27031,2016,200.0
p27075,2016,78.0
p27169,2016,13.0
p29143,2016,195.8
p30091,2016,25.0
p31025,2016,35.8
p31131,2016,1.7
p31147,2016,400.0
p33017,2016,12.1
p35025,2016,50.0
p36031,2016,77.7
p37053,2016,112.0
p37055,2016,96.0
p38017,2016,150.0
p38077,2016,340.2
p38097,2016,104.0
p39155,2016,100.8
p40001,2016,297.0
p40021,2016,64.8
p40041,2016,298.0
p40079,2016,342.9
p40089,2016,200.0
p40115,2016,198.0
p40135,2016,240.0
p41063,2016,10.0
p42089,2016,38.3
p44003,2016,4.5
p44007,2016,4.5
p44009,2016,6.0
p48005,2016,200.0
p48067,2016,300.0
p48199,2016,234.0
p48203,2016,634.4
p48241,2016,235.0
p48245,2016,16.0
p48291,2016,120.0
p48365,2016,430.0
p48405,2016,222.0
p48457,2016,125.0
p49009,2016,1.7
p49037,2016,62.1
p54037,2016,103.0
p56015,2016,80.0
p06025,2017,143.0
p06071,2017,49.8
p08099,2017,75.0
p17033,2017,252.0
p17183,2017,26.1
p18001,2017,119.7
p18075,2017,100.0
p19061,2017,170.0
p19087,2017,3.6
p19103,2017,12.0
p19111,2017,1.8
p19113,2017,3.0
p19115,2017,9.0
p20011,2017,200.0
p20021,2017,458.8
p23029,2017,22.8
p26063,2017,32.9
p26147,2017,116.1
p26151,2017,100.0
p27031,2017,200.0
p29133,2017,300.0
p31055,2017,4.6
p31127,2017,89.7
p31131,2017,1.7
p31177,2017,2.3
p35025,2017,29.9
p35037,2017,203.7
p35059,2017,418.6
p38017,2017,150.0
p38035,2017,99.3
p39007,2017,66.0
p40001,2017,33.8
p40041,2017,418.5
p40089,2017,299.3
p40115,2017,99.1
p41045,2017,50.0
p44007,2017,1.5
p48037,2017,401.2
p48071,2017,95.3
p48241,2017,222.0
p48245,2017,249.0
p48315,2017,100.5
p48343,2017,50.4
p48347,2017,312.3
p48419,2017,276.0
p48457,2017,414.4
p50009,2017,30.0
p55029,2017,98.0
p06025,2018,113.0
p06027,2018,3.6
p06065,2018,85.2
p08017,2018,18.3
p08061,2018,276.0
p08125,2018,288.0
p17033,2018,185.0
p17075,2018,331.0
p18047,2018,200.4
p19045,2018,199.2
p19057,2018,100.0
p19061,2018,339.0
p19097,2018,190.0
p19105,2018,90.0
p19115,2018,103.5
p19163,2018,260.0
p20011,2018,264.0
p20037,2018,35.3
p20091,2018,243.5
p26063,2018,44.0
p27075,2018,44.6
p27137,2018,2.0
p30011,2018,27.7
p30025,2018,82.4
p30083,2018,2.7
p30109,2018,1.6
p31025,2018,2.5
p31097,2018,4.6
p31127,2018,252.0
p31131,2018,30.0
p31133,2018,2.3
p31147,2018,268.6
p35059,2018,50.9
p36021,2018,78.4
p36115,2018,79.9
p38077,2018,48.0
p38097,2018,100.0
p39029,2018,101.5
p39081,2018,3.0
p40079,2018,377.3
p40115,2018,198.6
p46127,2018,40.0
p48005,2018,80.0
p48037,2018,150.0
p48199,2018,201.0
p48241,2018,282.0
p48347,2018,345.1
p48361,2018,60.0
p48365,2018,200.0
p48401,2018,148.4
p48403,2018,258.0
p48457,2018,160.0
p06065,2019,131.1
p06071,2019,1.8
p08099,2019,59.4
p17031,2019,48.0
p17075,2019,205.2
p17183,2019,146.3
p19045,2019,447.3
p19057,2019,66.0
p19097,2019,452.0
p19139,2019,140.0
p19163,2019,371.5
p20011,2019,199.3
p20209,2019,275.6
p25001,2019,5.0
p25009,2019,2.3
p25023,2019,2.3
p26147,2019,219.9
p26151,2019,65.3
p27075,2019,100.0
p31021,2019,2.5
p31025,2019,160.0
p33017,2019,28.8
p35059,2019,220.5
p38017,2019,106.7
p38077,2019,200.0
p40089,2019,100.0
p41063,2019,200.0
p42103,2019,90.0
p44003,2019,3.0
p44005,2019,3.0
p44007,2019,12.0
p44009,2019,3.0
p46011,2019,400.1
p46039,2019,97.4
p48037,2019,210.1
p48067,2019,183.8
p48183,2019,30.2
p48199,2019,162.9
p48203,2019,99.4
p48241,2019,600.0
p48315,2019,200.2
p48361,2019,307.1
p48373,2019,128.0
p48403,2019,350.3
p48419,2019,501.9
p48457,2019,821.7
p04001,2020,350.0
p08017,2020,540.0
p08115,2020,171.7
p08125,2020,236.1
p17023,2020,65.0
p17045,2020,202.0
p17075,2020,202.0
p17091,2020,400.0
p17101,2020,150.0
p17185,2020,79.0
p18003,2020,264.0
p18033,2020,102.0
p18115,2020,130.0
p18135,2020,134.6
p19005,2020,1.8
p19031,2020,200.0
p19045,2020,401.1
p19055,2020,7.9
p19057,2020,60.0
p19061,2020,130.9
p19097,2020,402.2
