region,year,capacity
p10,2010,138.0
p105,2010,289.8
p107,2010,22.7
p11,2010,1.0
p116,2010,100.5
p123,2010,70.0
p131,2010,4.7
p134,2010,91.5
p16,2010,205.8
p2,2010,100.7
p23,2010,311.0
p26,2010,1.5
p29,2010,65.1
p3,2010,146.0
p31,2010,102.4
p34,2010,51.0
p37,2010,221.1
p38,2010,309.0
p41,2010,60.0
p43,2010,368.8
p5,2010,159.0
p50,2010,350.2
p53,2010,60.5
p63,2010,210.1
p66,2010,511.6
p69,2010,3.0
p7,2010,171.7
p70,2010,3.0
p72,2010,162.0
p75,2010,20.0
p80,2010,138.0
p83,2010,362.0
p84,2010,6.0
p10,2011,953.7
p103,2011,192.0
p11,2011,1.0
p111,2011,341.0
p112,2011,60.0
p116,2011,150.5
p122,2011,41.2
p123,2011,50.0
p127,2011,125.3
p129,2011,40.0
p131,2011,21.1
p134,2011,80.0
p16,2011,266.9
p25,2011,102.0
p28,2011,10.0
p3,2011,198.8
p33,2011,124.15
p34,2011,376.15
p38,2011,172.0
p40,2011,1.5
p41,2011,121.9
p43,2011,506.36
p47,2011,50.4
p5,2011,198.0
p50,2011,200.6
p51,2011,130.0
p57,2011,66.13
p63,2011,246.36
p66,2011,107.81
p68,2011,53.44
p69,2011,79.3
p7,2011,4.2
p70,2011,665.8
p75,2011,162.0
p83,2011,691.7
p10,2012,1941.8
p103,2012,610.2
p105,2012,110.0
p107,2012,90.0
p11,2012,12.7
p112,2012,1.0
p12,2012,150.0
p122,2012,552.8
p126,2012,0.1
p127,2012,234.4
p129,2012,75.0
p130,2012,147.01
p131,2012,40.5
p133,2012,1.5
p134,2012,85.1
p16,2012,293.7
p2,2012,160.3
p29,2012,99.2
p3,2012,292.0
p33,2012,71.0
p34,2012,429.0
p35,2012,254.2
p37,2012,255.0
p41,2012,119.9
p43,2012,236.0
p47,2012,27.3
p5,2012,789.0
p50,2012,434.5
p51,2012,883.3
p53,2012,1646.8
p57,2012,258.0
p63,2012,374.8
p66,2012,962.1
p68,2012,30.0
p69,2012,13.0
p7,2012,56.0
p70,2012,681.6
