region,year,capacity
p04001,2010,65.1
p06025,2010,53.2
p06065,2010,48.0
p06071,2010,36.8
p06073,2010,1.0
p08061,2010,51.0
p16007,2010,100.05
p16019,2010,22.5
p16029,2010,21.0
p16043,2010,62.25
p17045,2010,24.0
p17075,2010,222.0
p17091,2010,138.0
p17183,2010,116.0
p18003,2010,186.3
p18029,2010,1.0
p18047,2010,21.7
p18135,2010,103.5
p19011,2010,1.5
p19019,2010,3.0
p19113,2010,1.5
p20099,2010,12.5
p20133,2010,48.0
p23029,2010,91.5
p24045,2010,70.0
p25017,2010,1.7
p25023,2010,3.0
p27031,2010,200.0
p27075,2010,168.8
p29133,2010,162.0
p29143,2010,6.0
p31133,2010,60.0
p35059,2010,102.4
p38035,2010,19.5
p38077,2010,164.8
p38097,2010,36.8
p40089,2010,350.2
p41045,2010,171.7
p41063,2010,159.0
p46051,2010,99.0
p46099,2010,210.0
p48005,2010,200.1
p48071,2010,108.0
p48199,2010,201.6
p48291,2010,192.0
p48373,2010,10.0
p48387,2010,10.0
p49047,2010,1.5
p53003,2010,100.7
p53063,2010,96.0
p53075,2010,50.0
p54003,2010,100.5
p55075,2010,20.0
p56011,2010,311.0
p04011,2011,10.0
p06025,2011,464.2
p06065,2011,486.0
p06071,2011,3.5
p06073,2011,1.0
p08009,2011,128.52
p08063,2011,124.15
p08099,2011,123.48
p08125,2011,124.15
p16007,2011,10.5
p16019,2011,45.3
p16029,2011,133.1
p16043,2011,34.5
p16081,2011,43.5
p17023,2011,1.5
p17045,2011,336.4
p17075,2011,203.8
p17185,2011,150.0
p19011,2011,3.0
p19019,2011,3.2
p19031,2011,100.0
p19043,2011,70.42
p19045,2011,23.2
p19057,2011,119.6
p19065,2011,1.6
p19097,2011,420.0
p19191,2011,4.08
p23029,2011,80.0
p24045,2011,50.0
p25017,2011,1.6
p25023,2011,15.0
p25027,2011,4.5
p26063,2011,54.0
p26099,2011,12.0
p26147,2011,48.0
p26151,2011,78.0
p27017,2011,0.5
p27031,2011,406.8
p27045,2011,2.5
p27055,2011,50.94
p27075,2011,85.9
p27109,2011,1.2
p27115,2011,0.36
p27137,2011,7.6
p27169,2011,4.0
p31021,2011,1.5
p31131,2011,40.5
p31147,2011,79.9
p31173,2011,1.5
p35025,2011,50.4
p36021,2011,51.3
p36115,2011,74.0
p39007,2011,207.0
p39081,2011,60.0
p39155,2011,134.0
p40021,2011,130.0
p40079,2011,100.8
p40089,2011,99.8
p41045,2011,4.2
p41063,2011,198.0
p42089,2011,3.2
p42127,2011,38.0
p46039,2011,159.3
p46083,2011,12.7
p48073,2011,44.09
p48291,2011,16.5
p48387,2011,200.17
p48407,2011,91.31
p48459,2011,66.13
p48499,2011,2.1
p49037,2011,102.0
p50009,2011,40.0
p53063,2011,148.8
p53075,2011,50.0
p54003,2011,97.6
p54027,2011,52.9
p55029,2011,162.0
p04001,2012,99.2
p06025,2012,873.7
p06065,2012,939.5
p06071,2012,128.6
p06073,2012,12.7
p08009,2012,214.5
p08017,2012,14.5
p08063,2012,200.0
p08125,2012,71.0
p16007,2012,46.0
p16019,2012,23.0
p16043,2012,178.7
p16081,2012,46.0
p17033,2012,200.0
p17075,2012,281.0
p17101,2012,192.3
p17183,2012,109.5
p18029,2012,90.0
p18135,2012,110.0
p19055,2012,131.5
p19057,2012,185.6
p19061,2012,122.0
p19065,2012,4.8
p19087,2012,50.0
p19101,2012,1.6
p19139,2012,99.0
p19163,2012,78.0
p19177,2012,4.8
p19183,2012,9.1
p19191,2012,8.2
p20001,2012,131.0
p20003,2012,167.9
p20021,2012,51.0
p20037,2012,315.6
p20059,2012,98.9
p20091,2012,200.0
p20103,2012,212.0
p20107,2012,470.4
p23029,2012,85.1
p25001,2012,28.5
p25017,2012,2.0
p25023,2012,7.0
p25027,2012,3.0
p26063,2012,128.8
p26087,2012,14.0
p26099,2012,100.0
p26147,2012,110.4
p26151,2012,225.0
p26157,2012,32.0
p27031,2012,200.0
p27055,2012,30.0
p27169,2012,36.0
p30011,2012,9.6
p30025,2012,10.0
p30083,2012,50.0
p30085,2012,184.6
p31025,2012,64.0
p31127,2012,32.04
p31153,2012,15.9
p31177,2012,7.96
p32007,2012,150.0
p33003,2012,48.0
p33017,2012,99.01
p34029,2012,0.1
p35041,2012,27.3
p36027,2012,4.1
p36091,2012,15.0
p36115,2012,215.3
p38035,2012,105.0
p38097,2012,150.0
p39081,2012,1.0
p40021,2012,59.8
p40041,2012,439.5
p40077,2012,2.94
p40079,2012,391.56
p40115,2012,384.0
p40135,2012,40.0
p41001,2012,56.0
p41063,2012,789.0
p42017,2012,7.4
p42103,2012,274.4
p42127,2012,271.0
p44007,2012,1.5
p48199,2012,11.0
p48203,2012,54.0
p48291,2012,284.3
p48347,2012,200.0
p48373,2012,235.2
p48387,2012,99.6
p48401,2012,268.0
p48423,2012,7.2
p48455,2012,30.0
p48457,2012,201.6
p48459,2012,204.0
p50009,2012,75.0
p53003,2012,160.3
p53051,2012,105.3
p53075,2012,186.7
p55071,2012,2.4
p55075,2012,2.4
p08009,2013,6.0
p08017,2013,2.0
p08061,2013,25.1
p19115,2013,44.6
p20011,2013,249.8
p26099,2013,100.3
p26151,2013,74.8
p31133,2013,74.8
p36021,2013,94.4
p39155,2013,3.4
p48343,2013,150.0
p06025,2014,150.0
p06065,2014,78.0
p06071,2014,1.0
p06073,2014,1.0
p08017,2014,200.6
p08125,2014,62.6
p18029,2014,66.0
p18177,2014,134.0
p19005,2014,138.6
p19057,2014,119.6
p19097,2014,250.0
p23029,2014,8.5
p24045,2014,40.0
p26063,2014,116.8
p26087,2014,78.0
p26151,2014,173.4
p27075,2014,50.0
p30083,2014,9.7
p30091,2014,10.0
p31025,2014,73.1
p31131,2014,202.5
p35025,2014,10.0
p35037,2014,9.9
p35041,2014,5.0
p35059,2014,9.9
p36021,2014,16.2
p40021,2014,150.0
p40035,2014,98.6
p40079,2014,398.0
p46101,2014,19.5
p48005,2014,181.7
p48037,2014,228.6
p48063,2014,67.46
p48067,2014,272.2
p48347,2014,418.0
p48373,2014,188.0
p48401,2014,161.0
p48405,2014,210.0
p48419,2014,249.9
p48423,2014,0.2
p48499,2014,2.5
p53003,2014,20.8
p53063,2014,246.0
p04003,2015,30.0
p06025,2015,283.9
p06071,2015,2.5
p08009,2015,400.0
p09150,2015,5.0
p17045,2015,175.0
p17101,2015,98.0
p19005,2015,89.1
p19031,2015,100.0
p19043,2015,289.8
p19087,2015,43.7
p19111,2015,37.1
p19113,2015,1.9
p19115,2015,58.0
p19191,2015,4.7
p20001,2015,50.7
p20037,2015,150.0
p20103,2015,200.5
p20107,2015,198.6
p23029,2015,173.7
p24045,2015,30.0
p27075,2015,195.8
p31055,2015,6.8
p31153,2015,13.4
p31177,2015,60.0
p35025,2015,250.0
p38077,2015,201.8
p38097,2015,255.4
p40001,2015,278.0
p40021,2015,74.0
p40041,2015,59.7
p40089,2015,490.4
p40115,2015,98.8
p40135,2015,221.0
p46039,2015,94.3
p46127,2015,80.0
p48037,2015,211.2
p48067,2015,200.0
p48167,2015,78.0
p48199,2015,195.7
p48201,2015,50.8
p48203,2015,375.2
p48245,2015,54.0
p48291,2015,427.0
p48343,2015,465.0
p48347,2015,200.0
p48365,2015,230.0
p48387,2015,150.0
p48401,2015,260.0
p48419,2015,499.8
p48455,2015,20.0
p48499,2015,2.1
p08099,2016,60.8
p17075,2016,184.0
p18155,2016,150.0
p19019,2016,3.0
p19043,2016,119.6
p19055,2016,108.7
p19057,2016,79.7
p19087,2016,3.0
p19111,2016,27.6
p19113,2016,121.9
p19115,2016,141.1
p19183,2016,1.7
p20003,2016,72.0
p20037,2016,208.3
p20059,2016,160.0
p20103,2016,40.0
p20107,2016,199.0
p20121,2016,200.0
p23029,2016,286.0
p25009,2016,7.9
p26087,2016,79.4
p27031,2016,200.0
p27075,2016,91.0
p29201,2016,195.8
p30091,2016,25.0
p31131,2016,35.8
p31133,2016,1.7
p31147,2016,400.0
p33007,2016,12.1
p35041,2016,50.0
p36115,2016,77.7
p37029,2016,168.0
p37053,2016,40.0
p38077,2016,594.2
p39081,2016,100.8
p40001,2016,3.0
p40021,2016,64.8
p40041,2016,369.0
p40079,2016,128.0
p40089,2016,447.9
p40115,2016,150.0
p40135,2016,478.0
p41063,2016,10.0
p42089,2016,38.3
p44007,2016,3.0
p44009,2016,3.0
p48037,2016,200.0
p48067,2016,222.0
p48199,2016,214.0
p48203,2016,460.4
p48245,2016,250.0
p48291,2016,186.0
p48315,2016,35.0
p48365,2016,452.0
p48373,2016,125.0
p48419,2016,78.0
p48449,2016,120.0
p48457,2016,174.0
p49009,2016,1.7
p49037,2016,62.1
p54003,2016,103.0
p56045,2016,80.0
p06025,2017,112.0
p06065,2017,78.9
p06073,2017,1.9
p08099,2017,75.0
p17045,2017,158.0
p17079,2017,0.1
p17101,2017,120.0
p18029,2017,100.0
p18033,2017,119.7
p19019,2017,3.0
p19065,2017,12.0
p19111,2017,9.0
p19113,2017,1.8
p19139,2017,170.0
p19183,2017,3.6
p20011,2017,178.2
p20107,2017,280.6
p20121,2017,200.0
p23029,2017,22.8
p26063,2017,60.0
p26125,2017,41.6
p26147,2017,14.5
p26151,2017,100.0
p26157,2017,32.9
p27031,2017,200.0
p29133,2017,300.0
p31025,2017,2.3
p31131,2017,4.0
p31147,2017,89.7
p31153,2017,2.3
p35009,2017,156.0
p35025,2017,172.5
p35037,2017,270.0
p35059,2017,53.7
p38017,2017,150.0
p38077,2017,99.3
p39081,2017,66.0
p40001,2017,299.3
p40079,2017,297.8
p40089,2017,154.5
p40115,2017,99.1
p41001,2017,10.0
p41045,2017,30.0
p41063,2017,10.0
p48005,2017,149.3
p48037,2017,126.0
p48073,2017,50.4
p48199,2017,186.0
p48203,2017,253.0
p48291,2017,95.3
p48315,2017,163.0
p48347,2017,255.9
p48365,2017,250.0
p48373,2017,151.2
p48457,2017,441.0
p50009,2017,30.0
p55029,2017,98.0
p06025,2018,171.9
p06065,2018,21.6
p06071,2018,1.8
p06073,2018,6.5
p08017,2018,42.3
p08061,2018,270.0
p08125,2018,270.0
p17023,2018,331.0
p17045,2018,185.0
p18003,2018,80.4
p18047,2018,120.0
p19031,2018,101.2
p19057,2018,207.0
p19097,2018,200.0
p19105,2018,198.0
p19111,2018,103.5
p19115,2018,222.0
p19163,2018,250.0
p20011,2018,228.0
p20021,2018,48.0
p20037,2018,75.5
p20209,2018,191.3
p26151,2018,44.0
p27075,2018,44.6
p27137,2018,2.0
p30011,2018,27.7
p30025,2018,82.4
p30083,2018,2.7
p30109,2018,1.6
p31025,2018,151.0
p31097,2018,4.6
p31127,2018,234.0
p31133,2018,32.3
p31147,2018,84.1
p31153,2018,54.0
p35059,2018,50.9
p36019,2018,79.9
p36021,2018,24.4
p36119,2018,54.0
p38017,2018,48.0
p38077,2018,100.0
p39007,2018,101.5
p39081,2018,1.5
p39099,2018,1.5
p40021,2018,130.0
p40079,2018,198.6
p40089,2018,144.0
p40115,2018,103.3
p46127,2018,40.0
p48067,2018,500.0
p48203,2018,300.0
p48291,2018,80.0
p48347,2018,456.8
p48365,2018,46.7
p48373,2018,150.0
p48401,2018,150.0
p48457,2018,201.0
p06025,2019,90.0
p06065,2019,42.9
p08061,2019,59.4
p17023,2019,205.2
p17045,2019,194.3
p19045,2019,156.0
p19055,2019,66.0
p19061,2019,200.0
p19097,2019,244.0
p19115,2019,56.0
p19139,2019,455.5
p19163,2019,299.3
p20107,2019,474.9
p25005,2019,4.6
p25023,2019,5.0
p26063,2019,36.0
p26099,2019,12.0
p26151,2019,237.2
p27075,2019,100.0
p31131,2019,160.0
p31177,2019,2.5
p33017,2019,28.8
p35037,2019,220.5
p38077,2019,200.0
p38097,2019,106.7
p40089,2019,100.0
p41045,2019,200.0
p42103,2019,90.0
p44003,2019,3.0
p44007,2019,12.0
p44009,2019,6.0
p46011,2019,400.1
p46051,2019,97.4
p48067,2019,420.1
p48071,2019,200.0
p48199,2019,399.6
p48203,2019,67.5
p48241,2019,609.5
p48245,2019,138.0
p48291,2019,162.9
p48315,2019,222.0
p48347,2019,441.2
p48351,2019,350.3
p48365,2019,200.2
p48373,2019,128.0
p48455,2019,30.2
p48457,2019,226.1
p04001,2020,350.0
p08017,2020,534.0
p08063,2020,171.7
p08125,2020,242.1
p17023,2020,150.0
p17033,2020,34.0
p17045,2020,79.0
p17075,2020,400.0
p17101,2020,65.0
p17183,2020,370.0
p18003,2020,216.0
p18047,2020,102.0
p18135,2020,182.6
p18161,2020,130.0
p19005,2020,139.9
p19045,2020,500.0
p19057,2020,110.0
p19061,2020,352.0
p19113,2020,60.0
p19115,2020,130.9
p19163,2020,201.3
p19191,2020,1.8
p20011,2020,195.8
p20037,2020,300.0
p20103,2020,200.1
p20107,2020,198.8
p23029,2020,72.6
p26147,2020,312.6
p26151,2020,136.0
p27031,2020,200.0
p27075,2020,250.0
p27137,2020,4.6
p27157,2020,2.5
p27169,2020,5.0
p29133,2020,612.0
p29143,2020,242.0
p29155,2020,132.0
p29201,2020,13.5
p30091,2020,80.0
p31127,2020,165.0
p31147,2020,230.0
p35025,2020,90.0
p38017,2020,192.0
p38077,2020,307.4
p39007,2020,71.1
p39155,2020,54.0
p40001,2020,186.0
p40041,2020,148.4
p40089,2020,801.7
p40135,2020,14.0
p41001,2020,10.0
p41045,2020,130.0
p41063,2020,200.0
p46039,2020,192.2
p46051,2020,103.5
p46083,2020,210.0
p46099,2020,260.2
p48005,2020,180.0
p48167,2020,36.0
p48199,2020,201.6
p48201,2020,14.4
p48203,2020,162.0
p48291,2020,142.6
p48315,2020,138.0
p48351,2020,418.9
p48365,2020,250.0
p48373,2020,151.2
p48401,2020,160.7
p48457,2020,242.8
p53051,2020,144.0
p53075,2020,136.8
p54065,2020,56.2
p56011,2020,287.9
p56015,2020,332.5
p56021,2020,79.0
p56027,2020,361.8
p06025,2021,193.1
p06065,2021,54.0
p06071,2021,102.7
p08095,2021,205.0
